"Gene","group","Sample","Expression","is.outlier"
"Apoa1","Control","CC1643L",2,NA
"Apoa1","Control","CC1698L",10,NA
"Apoa1","Control","CC2968R",15,NA
"Apoa1","Control","CC3441L",9,NA
"Apoa1","Ctrl_HFHS","CC1752LR",5,NA
"Apoa1","Ctrl_HFHS","CC1867R",3,NA
"Apoa1","Ctrl_HFHS","CC3445R",1,NA
"Apoa1","Ctrl_HFHS","CC4056R",0,NA
"Apoa1","Lact_HFHS","CC2962LR",6,NA
"Apoa1","Lact_HFHS","CC3772L",174,NA
"Apoa1","Lact_HFHS","CC3774LR",142,NA
"Apoa1","Lact_HFHS","CC4164L",23,NA
"Apoa1","Lact_HFHS","CC4272LR",2,NA
"Apoa1","Lactation","CC2565R",3,NA
"Apoa1","Lactation","CC2566LR",37,NA
"Apoa1","Lactation","CC4006R",28,NA
"Apoa1","Lactation","CC4007LR",7,NA
"Apoa1","Lactation","CC4113L",4,NA
"Apoa1","Lactation","CC4114R",7,NA
"Apoa1","Postweaning","CC2148R",4,NA
"Apoa1","Postweaning","CC3920LR",4,NA
"Apoa1","Postweaning","CC4058L",1348,NA
"Apoa1","Pw_HFHS","CC2379LR",12,NA
"Apoa1","Pw_HFHS","CC2381RR",2,NA
"Apoa1","Pw_HFHS","CC2508R",3,NA
"Apoa1","Pw_HFHS","CC2559L",1,NA
"Apoa1","Pw_HFHS","CC2560R",8,NA
"Apoa2","Control","CC1643L",12,NA
"Apoa2","Control","CC1698L",7,NA
"Apoa2","Control","CC2968R",18,NA
"Apoa2","Control","CC3441L",7,NA
"Apoa2","Ctrl_HFHS","CC1752LR",11,NA
"Apoa2","Ctrl_HFHS","CC1867R",4,NA
"Apoa2","Ctrl_HFHS","CC3445R",6,NA
"Apoa2","Ctrl_HFHS","CC4056R",3,NA
"Apoa2","Lact_HFHS","CC2962LR",8,NA
"Apoa2","Lact_HFHS","CC3772L",169,NA
"Apoa2","Lact_HFHS","CC3774LR",154,NA
"Apoa2","Lact_HFHS","CC4164L",44,NA
"Apoa2","Lact_HFHS","CC4272LR",8,NA
"Apoa2","Lactation","CC2565R",8,NA
"Apoa2","Lactation","CC2566LR",12,NA
"Apoa2","Lactation","CC4006R",34,NA
"Apoa2","Lactation","CC4007LR",12,NA
"Apoa2","Lactation","CC4113L",11,NA
"Apoa2","Lactation","CC4114R",5,NA
"Apoa2","Postweaning","CC2148R",9,NA
"Apoa2","Postweaning","CC3920LR",15,NA
"Apoa2","Postweaning","CC4058L",761,NA
"Apoa2","Pw_HFHS","CC2379LR",9,NA
"Apoa2","Pw_HFHS","CC2508R",9,NA
"Apoa2","Pw_HFHS","CC2559L",6,NA
"Apoa2","Pw_HFHS","CC2560R",5,NA
"Apoa5","Control","CC1643L",0,NA
"Apoa5","Control","CC1698L",0,NA
"Apoa5","Control","CC2968R",0,NA
"Apoa5","Control","CC3441L",2,NA
"Apoa5","Ctrl_HFHS","CC1867R",0,NA
"Apoa5","Ctrl_HFHS","CC3445R",0,NA
"Apoa5","Ctrl_HFHS","CC4056R",0,NA
"Apoa5","Ctrl_HFHS","CC4057LR",0,NA
"Apoa5","Lact_HFHS","CC2962LR",0,NA
"Apoa5","Lact_HFHS","CC3772L",18,NA
"Apoa5","Lact_HFHS","CC3774LR",26,NA
"Apoa5","Lact_HFHS","CC4164L",8,NA
"Apoa5","Lact_HFHS","CC4272LR",0,NA
"Apoa5","Lactation","CC2565R",0,NA
"Apoa5","Lactation","CC2566LR",1,NA
"Apoa5","Lactation","CC4006R",5,NA
"Apoa5","Lactation","CC4007LR",0,NA
"Apoa5","Lactation","CC4113L",0,NA
"Apoa5","Lactation","CC4114R",0,NA
"Apoa5","Postweaning","CC2148R",0,NA
"Apoa5","Postweaning","CC3920LR",0,NA
"Apoa5","Postweaning","CC4058L",170,NA
"Apoa5","Pw_HFHS","CC2379LR",0,NA
"Apoa5","Pw_HFHS","CC2381RR",0,NA
"Apoa5","Pw_HFHS","CC2508R",0,NA
"Apoa5","Pw_HFHS","CC2559L",0,NA
"Apoa5","Pw_HFHS","CC2560R",0,NA
