"Gene","group","Sample","Expression","is.outlier"
"Tnfsf13b","Control","CC1643L",91,NA
"Tnfsf13b","Control","CC1698L",79,NA
"Tnfsf13b","Control","CC1699R",109,NA
"Tnfsf13b","Control","CC2968R",80,NA
"Tnfsf13b","Ctrl_HFHS","CC1752LR",169,NA
"Tnfsf13b","Ctrl_HFHS","CC1867R",73,NA
"Tnfsf13b","Ctrl_HFHS","CC3445R",96,NA
"Tnfsf13b","Ctrl_HFHS","CC4056R",72,NA
"Tnfsf13b","Ctrl_HFHS","CC4057LR",119,NA
"Tnfsf13b","Lact_HFHS","CC2962LR",107,NA
"Tnfsf13b","Lact_HFHS","CC3772L",102,NA
"Tnfsf13b","Lact_HFHS","CC3774LR",91,NA
"Tnfsf13b","Lact_HFHS","CC4272LR",102,NA
"Tnfsf13b","Lactation","CC2017LL",92,NA
"Tnfsf13b","Lactation","CC2566LR",103,NA
"Tnfsf13b","Lactation","CC4006R",95,NA
"Tnfsf13b","Lactation","CC4007LR",79,NA
"Tnfsf13b","Lactation","CC4113L",106,NA
"Tnfsf13b","Lactation","CC4114R",110,NA
"Tnfsf13b","Postweaning","CC2148R",104,NA
"Tnfsf13b","Postweaning","CC3920LR",79,NA
"Tnfsf13b","Postweaning","CC4058L",69,NA
"Tnfsf13b","Pw_HFHS","CC2379LR",100,NA
"Tnfsf13b","Pw_HFHS","CC2381RR",84,NA
"Tnfsf13b","Pw_HFHS","CC2508R",91,NA
"Tnfsf13b","Pw_HFHS","CC2559L",70,NA
"Cd40","Control","CC1643L",73,NA
"Cd40","Control","CC1698L",100,NA
"Cd40","Control","CC1699R",121,NA
"Cd40","Control","CC2968R",52,NA
"Cd40","Control","CC3441L",75,NA
"Cd40","Ctrl_HFHS","CC1752LR",173,NA
"Cd40","Ctrl_HFHS","CC1867R",45,NA
"Cd40","Ctrl_HFHS","CC3445R",81,NA
"Cd40","Ctrl_HFHS","CC4056R",30,NA
"Cd40","Ctrl_HFHS","CC4057LR",103,NA
"Cd40","Lact_HFHS","CC2962LR",70,NA
"Cd40","Lact_HFHS","CC3772L",128,NA
"Cd40","Lact_HFHS","CC3774LR",41,NA
"Cd40","Lact_HFHS","CC4164L",83,NA
"Cd40","Lact_HFHS","CC4272LR",30,NA
"Cd40","Lactation","CC2017LL",37,NA
"Cd40","Lactation","CC2565R",54,NA
"Cd40","Lactation","CC2566LR",43,NA
"Cd40","Lactation","CC4006R",48,NA
"Cd40","Lactation","CC4007LR",36,NA
"Cd40","Lactation","CC4113L",79,NA
"Cd40","Lactation","CC4114R",91,NA
"Cd40","Postweaning","CC2148R",234,NA
"Cd40","Postweaning","CC3920LR",57,NA
"Cd40","Postweaning","CC4058L",38,NA
"Cd40","Pw_HFHS","CC2379LR",75,NA
"Cd40","Pw_HFHS","CC2508R",51,NA
"Cd40","Pw_HFHS","CC2559L",35,NA
"Cd40","Pw_HFHS","CC2560R",34,NA
"Cd19","Control","CC1643L",80,NA
"Cd19","Control","CC1699R",49,NA
