"Gene","group","Sample","Expression","is.outlier"
"Pkp1","Control","CC1643L",16,NA
"Pkp1","Control","CC1699R",3,NA
"Pkp1","Control","CC2968R",6,NA
"Pkp1","Control","CC3441L",13,NA
"Pkp1","Ctrl_HFHS","CC1752LR",2,NA
"Pkp1","Ctrl_HFHS","CC1867R",36,NA
"Pkp1","Ctrl_HFHS","CC3445R",5,NA
"Pkp1","Ctrl_HFHS","CC4056R",0,NA
"Pkp1","Ctrl_HFHS","CC4057LR",69,NA
"Pkp1","Lact_HFHS","CC2962LR",9,NA
"Pkp1","Lact_HFHS","CC3772L",35,NA
"Pkp1","Lact_HFHS","CC3774LR",2,NA
"Pkp1","Lact_HFHS","CC4164L",49,NA
"Pkp1","Lact_HFHS","CC4272LR",26,NA
"Pkp1","Lactation","CC2017LL",5,NA
"Pkp1","Lactation","CC2565R",20,NA
"Pkp1","Lactation","CC2566LR",24,NA
"Pkp1","Lactation","CC4006R",2,NA
"Pkp1","Lactation","CC4007LR",1,NA
"Pkp1","Lactation","CC4113L",3,NA
"Pkp1","Lactation","CC4114R",24,NA
"Pkp1","Postweaning","CC2148R",17,NA
"Pkp1","Postweaning","CC3920LR",30,NA
"Pkp1","Postweaning","CC4058L",22,NA
"Pkp1","Pw_HFHS","CC2379LR",1,NA
"Pkp1","Pw_HFHS","CC2381RR",11,NA
"Pkp1","Pw_HFHS","CC2508R",3,NA
"Pkp1","Pw_HFHS","CC2559L",5,NA
"Pkp1","Pw_HFHS","CC2560R",0,NA
"Casq2","Control","CC1643L",5,NA
"Casq2","Control","CC1698L",16,NA
"Casq2","Control","CC1699R",5,NA
"Casq2","Control","CC2968R",9,NA
"Casq2","Control","CC3441L",12,NA
"Casq2","Ctrl_HFHS","CC1752LR",3,NA
"Casq2","Ctrl_HFHS","CC1867R",20,NA
"Casq2","Ctrl_HFHS","CC3445R",12,NA
"Casq2","Ctrl_HFHS","CC4056R",5,NA
"Casq2","Ctrl_HFHS","CC4057LR",38,NA
"Casq2","Lact_HFHS","CC2962LR",11,NA
"Casq2","Lact_HFHS","CC3772L",22,NA
"Casq2","Lact_HFHS","CC3774LR",5,NA
"Casq2","Lact_HFHS","CC4164L",35,NA
"Casq2","Lact_HFHS","CC4272LR",10,NA
"Casq2","Lactation","CC2017LL",6,NA
"Casq2","Lactation","CC2565R",11,NA
"Casq2","Lactation","CC2566LR",11,NA
"Casq2","Lactation","CC4006R",4,NA
"Casq2","Lactation","CC4007LR",5,NA
"Casq2","Lactation","CC4113L",9,NA
"Casq2","Lactation","CC4114R",14,NA
"Casq2","Postweaning","CC2148R",20,NA
"Casq2","Postweaning","CC3920LR",14,NA
"Casq2","Postweaning","CC4058L",8,NA
"Casq2","Pw_HFHS","CC2508R",9,NA
"Casq2","Pw_HFHS","CC2559L",7,NA
"Casq2","Pw_HFHS","CC2560R",8,NA
"Epha3","Control","CC1643L",0,NA
"Epha3","Control","CC1698L",10,NA
"Epha3","Control","CC1699R",6,NA
"Epha3","Control","CC2968R",3,NA
"Epha3","Control","CC3441L",0,NA
"Epha3","Ctrl_HFHS","CC1752LR",7,NA
"Epha3","Ctrl_HFHS","CC1867R",16,NA
"Epha3","Ctrl_HFHS","CC3445R",3,NA
"Epha3","Ctrl_HFHS","CC4056R",4,NA
"Epha3","Ctrl_HFHS","CC4057LR",22,NA
"Epha3","Lact_HFHS","CC2962LR",4,NA
"Epha3","Lact_HFHS","CC3774LR",4,NA
"Epha3","Lact_HFHS","CC4272LR",3,NA
"Epha3","Lactation","CC2017LL",8,NA
"Epha3","Lactation","CC2565R",45,NA
"Epha3","Lactation","CC2566LR",33,NA
"Epha3","Lactation","CC4006R",1,NA
"Epha3","Lactation","CC4007LR",32,NA
"Epha3","Lactation","CC4113L",4,NA
"Epha3","Lactation","CC4114R",5,NA
"Epha3","Postweaning","CC2148R",6,NA
"Epha3","Postweaning","CC3920LR",7,NA
"Epha3","Postweaning","CC4058L",4,NA
"Epha3","Pw_HFHS","CC2379LR",1,NA
"Epha3","Pw_HFHS","CC2508R",1,NA
"Epha3","Pw_HFHS","CC2559L",1,NA
"Epha3","Pw_HFHS","CC2560R",2,NA
