"Gene","group","Sample","Expression","is.outlier"
"Sez6l","Control","CC1643L",254,NA
"Sez6l","Control","CC1698L",226,NA
"Sez6l","Control","CC1699R",38,NA
"Sez6l","Control","CC2968R",30,NA
"Sez6l","Control","CC3441L",44,NA
"Sez6l","Ctrl_HFHS","CC1752LR",64,NA
"Sez6l","Ctrl_HFHS","CC1867R",111,NA
"Sez6l","Ctrl_HFHS","CC3445R",88,NA
"Sez6l","Ctrl_HFHS","CC4056R",23,NA
"Sez6l","Ctrl_HFHS","CC4057LR",138,NA
"Sez6l","Lact_HFHS","CC2962LR",75,NA
"Sez6l","Lact_HFHS","CC3772L",88,NA
"Sez6l","Lact_HFHS","CC3774LR",29,NA
"Sez6l","Lact_HFHS","CC4272LR",42,NA
"Sez6l","Lactation","CC2017LL",72,NA
"Sez6l","Lactation","CC2565R",165,NA
"Sez6l","Lactation","CC2566LR",108,NA
"Sez6l","Lactation","CC4006R",34,NA
"Sez6l","Lactation","CC4007LR",217,NA
"Sez6l","Lactation","CC4113L",54,NA
"Sez6l","Lactation","CC4114R",123,NA
"Sez6l","Postweaning","CC2148R",38,NA
"Sez6l","Postweaning","CC3920LR",170,NA
"Sez6l","Postweaning","CC4058L",201,NA
"Sez6l","Pw_HFHS","CC2379LR",16,NA
"Sez6l","Pw_HFHS","CC2381RR",34,NA
"Sez6l","Pw_HFHS","CC2508R",19,NA
"Sez6l","Pw_HFHS","CC2559L",15,NA
"Sez6l","Pw_HFHS","CC2560R",30,NA
"Wnt4","Control","CC1643L",15,NA
"Wnt4","Control","CC1698L",23,NA
"Wnt4","Control","CC2968R",10,NA
"Wnt4","Control","CC3441L",30,NA
"Wnt4","Ctrl_HFHS","CC1867R",8,NA
"Wnt4","Ctrl_HFHS","CC3445R",13,NA
"Wnt4","Ctrl_HFHS","CC4056R",4,NA
"Wnt4","Ctrl_HFHS","CC4057LR",16,NA
"Wnt4","Lact_HFHS","CC2962LR",6,NA
"Wnt4","Lact_HFHS","CC3772L",4,NA
"Wnt4","Lact_HFHS","CC3774LR",8,NA
"Wnt4","Lact_HFHS","CC4164L",3,NA
"Wnt4","Lact_HFHS","CC4272LR",3,NA
"Wnt4","Lactation","CC2017LL",24,NA
"Wnt4","Lactation","CC2565R",81,NA
"Wnt4","Lactation","CC2566LR",25,NA
"Wnt4","Lactation","CC4006R",5,NA
"Wnt4","Lactation","CC4113L",11,NA
"Wnt4","Lactation","CC4114R",62,NA
"Wnt4","Postweaning","CC2148R",36,NA
"Wnt4","Postweaning","CC3920LR",43,NA
"Wnt4","Postweaning","CC4058L",12,NA
"Wnt4","Pw_HFHS","CC2379LR",18,NA
"Wnt4","Pw_HFHS","CC2381RR",42,NA
"Wnt4","Pw_HFHS","CC2508R",3,NA
"Wnt4","Pw_HFHS","CC2559L",10,NA
"Wnt4","Pw_HFHS","CC2560R",23,NA
"Klk10","Control","CC1643L",0,NA
"Klk10","Control","CC1699R",3,NA
"Klk10","Control","CC2968R",5,NA
"Klk10","Control","CC3441L",0,NA
"Klk10","Ctrl_HFHS","CC1752LR",1,NA
"Klk10","Ctrl_HFHS","CC3445R",2,NA
"Klk10","Ctrl_HFHS","CC4056R",4,NA
"Klk10","Ctrl_HFHS","CC4057LR",1,NA
"Klk10","Lact_HFHS","CC2962LR",0,NA
"Klk10","Lact_HFHS","CC3774LR",0,NA
"Klk10","Lact_HFHS","CC4164L",1,NA
"Klk10","Lact_HFHS","CC4272LR",1,NA
"Klk10","Lactation","CC2017LL",2,NA
"Klk10","Lactation","CC2565R",33,NA
"Klk10","Lactation","CC2566LR",11,NA
