"Gene","p.adj_Control_vs_Ctrl_HFHS","p.adj_Lact_HFHS_vs_Lactation","p.adj_Postweaning_vs_Pw_HFHS","p.signif_Control_vs_Ctrl_HFHS","p.signif_Lact_HFHS_vs_Lactation","p.signif_Postweaning_vs_Pw_HFHS","n1_Control_vs_Ctrl_HFHS","n1_Lact_HFHS_vs_Lactation","n1_Postweaning_vs_Pw_HFHS","n2_Control_vs_Ctrl_HFHS","n2_Lact_HFHS_vs_Lactation","n2_Postweaning_vs_Pw_HFHS"
"Cfd",0.293,0.00589,0.987,"ns","***","ns",5,5,3,5,7,5
"Cyp2e1",0.59,0.00333,0.784,"ns","***","ns",5,5,3,5,7,5
"Lep",0.0668,0.00372,0.474,"*","***","ns",5,5,3,5,7,5
"Prelp",0.479,0.0059,0.757,"ns","***","ns",5,5,3,5,7,5
"Tkt",0.0539,0.00704,0.149,"*","***","ns",5,5,3,5,7,5
"Ces1d",0.28,0.00443,0.785,"ns","***","ns",5,5,3,5,7,5
"Npr3",0.164,4.2e-06,0.765,"ns","****","ns",5,5,3,5,7,5
"Aldh2",0.253,0.0235,0.705,"ns","**","ns",5,5,3,5,7,5
"Gpx3",0.12,0.0075,0.42,"ns","***","ns",5,5,3,5,7,5
"Fads3",0.884,0.0231,0.61,"ns","**","ns",5,5,3,5,7,5
"Ifi27l2a",0.327,0.0339,0.499,"ns","**","ns",5,5,3,5,7,5
"Lpgat1",0.0897,0.00112,0.37,"*","****","ns",5,5,3,5,7,5
"Trp53inp2",0.255,0.00165,0.55,"ns","***","ns",5,5,3,5,7,5
"Tusc5",0.34,0.0257,0.75,"ns","**","ns",5,5,3,5,7,5
"Epb41l2",0.156,0.000266,0.899,"ns","****","ns",5,5,3,5,7,5
"Cyb5b",0.542,0.00597,0.795,"ns","***","ns",5,5,3,5,7,5
"Mest",0.202,0.00263,0.438,"ns","***","ns",5,5,3,5,7,5
"Aco2",0.272,0.0248,0.718,"ns","**","ns",5,5,3,5,7,5
"Pygb",0.259,0.0252,0.417,"ns","**","ns",5,5,3,5,7,5
"Acp5",0.0746,0.0449,0.919,"*","**","ns",5,5,3,5,7,5
"Ephx2",0.826,0.0341,0.405,"ns","**","ns",5,5,3,5,7,5
"Hadh",0.352,0.0449,0.861,"ns","**","ns",5,5,3,5,7,5
"Pmepa1",0.471,0.0183,0.551,"ns","**","ns",5,5,3,5,7,5
"Fmr1",0.848,0.00506,0.513,"ns","***","ns",5,5,3,5,7,5
"Atp5c1",0.0572,0.00609,0.632,"*","***","ns",5,5,3,5,7,5
"Dgat1",0.315,0.0367,0.848,"ns","**","ns",5,5,3,5,7,5
"C130074G19Rik",0.475,0.00459,0.475,"ns","***","ns",5,5,3,5,7,5
"Nudt4",0.966,0.00925,0.838,"ns","***","ns",5,5,3,5,7,5
"Dmpk",0.709,0.0435,0.655,"ns","**","ns",5,5,3,5,7,5
"Lbp",0.519,0.0386,0.43,"ns","**","ns",5,5,3,5,7,5
"Igfbp6",0.317,0.0368,0.761,"ns","**","ns",5,5,3,5,7,5
