"Gene","group","Sample","Expression","is.outlier"
"Stk24","Control","CC1643L",1644,NA
"Stk24","Control","CC1698L",1244,NA
"Stk24","Control","CC1699R",971,NA
"Stk24","Control","CC2968R",665,NA
"Stk24","Control","CC3441L",928,NA
"Stk24","Ctrl_HFHS","CC1752LR",1066,NA
"Stk24","Ctrl_HFHS","CC1867R",1008,NA
"Stk24","Ctrl_HFHS","CC3445R",1158,NA
"Stk24","Lact_HFHS","CC2962LR",1246,NA
"Stk24","Lact_HFHS","CC3772L",1511,NA
"Stk24","Lact_HFHS","CC3774LR",1008,NA
"Stk24","Lact_HFHS","CC4164L",1488,NA
"Stk24","Lact_HFHS","CC4272LR",1266,NA
"Stk24","Lactation","CC2017LL",842,NA
"Stk24","Lactation","CC2565R",1175,NA
"Stk24","Lactation","CC2566LR",903,NA
"Stk24","Lactation","CC4006R",1003,NA
"Stk24","Lactation","CC4007LR",1011,NA
"Stk24","Lactation","CC4113L",1308,NA
"Stk24","Lactation","CC4114R",1183,NA
"Stk24","Postweaning","CC2148R",1185,NA
"Stk24","Postweaning","CC3920LR",966,NA
"Stk24","Postweaning","CC4058L",1336,NA
"Stk24","Pw_HFHS","CC2379LR",847,NA
"Stk24","Pw_HFHS","CC2381RR",994,NA
"Stk24","Pw_HFHS","CC2508R",847,NA
"Stk24","Pw_HFHS","CC2559L",1054,NA
"Stk24","Pw_HFHS","CC2560R",772,NA
"Dtx4","Control","CC1643L",1497,NA
"Dtx4","Control","CC1698L",994,NA
"Dtx4","Control","CC1699R",669,NA
"Dtx4","Control","CC2968R",294,NA
"Dtx4","Control","CC3441L",484,NA
"Dtx4","Ctrl_HFHS","CC1752LR",419,NA
"Dtx4","Ctrl_HFHS","CC1867R",430,NA
"Dtx4","Ctrl_HFHS","CC3445R",1132,NA
"Dtx4","Ctrl_HFHS","CC4056R",331,NA
"Dtx4","Ctrl_HFHS","CC4057LR",1173,NA
"Dtx4","Lact_HFHS","CC2962LR",707,NA
"Dtx4","Lact_HFHS","CC3772L",1167,NA
"Dtx4","Lact_HFHS","CC3774LR",534,NA
"Dtx4","Lact_HFHS","CC4164L",1173,NA
"Dtx4","Lact_HFHS","CC4272LR",791,NA
"Dtx4","Lactation","CC2017LL",371,NA
"Dtx4","Lactation","CC2565R",727,NA
"Dtx4","Lactation","CC2566LR",468,NA
"Dtx4","Lactation","CC4006R",447,NA
"Dtx4","Lactation","CC4007LR",514,NA
"Dtx4","Lactation","CC4113L",600,NA
"Dtx4","Lactation","CC4114R",697,NA
"Dtx4","Postweaning","CC2148R",885,NA
