"Gene","group","Sample","Expression","is.outlier"
"Il6st","Control","CC1643L",8594,NA
"Il6st","Control","CC1698L",6382,NA
"Il6st","Control","CC1699R",3979,NA
"Il6st","Control","CC2968R",2736,NA
"Il6st","Control","CC3441L",5325,NA
"Il6st","Ctrl_HFHS","CC1752LR",5751,NA
"Il6st","Ctrl_HFHS","CC1867R",4896,NA
"Il6st","Ctrl_HFHS","CC3445R",4965,NA
"Il6st","Ctrl_HFHS","CC4056R",4281,NA
"Il6st","Ctrl_HFHS","CC4057LR",6503,NA
"Il6st","Lact_HFHS","CC2962LR",6091,NA
"Il6st","Lact_HFHS","CC3772L",5711,NA
"Il6st","Lact_HFHS","CC3774LR",4789,NA
"Il6st","Lact_HFHS","CC4164L",5214,NA
"Il6st","Lact_HFHS","CC4272LR",5783,NA
"Il6st","Lactation","CC2017LL",4967,NA
"Il6st","Lactation","CC2565R",6827,NA
"Il6st","Lactation","CC2566LR",3359,NA
"Il6st","Lactation","CC4006R",4791,NA
"Il6st","Lactation","CC4007LR",8503,NA
"Il6st","Lactation","CC4113L",7663,NA
"Il6st","Lactation","CC4114R",5877,NA
"Il6st","Postweaning","CC2148R",2710,NA
"Il6st","Postweaning","CC3920LR",3784,NA
"Il6st","Postweaning","CC4058L",6968,NA
"Il6st","Pw_HFHS","CC2379LR",2834,NA
"Il6st","Pw_HFHS","CC2381RR",2289,NA
"Il6st","Pw_HFHS","CC2508R",5226,NA
"Il6st","Pw_HFHS","CC2559L",6279,NA
"Il6st","Pw_HFHS","CC2560R",5417,NA
"Jak1","Control","CC1643L",5816,NA
"Jak1","Control","CC1698L",5034,NA
"Jak1","Control","CC1699R",3257,NA
"Jak1","Control","CC2968R",2505,NA
"Jak1","Control","CC3441L",3529,NA
"Jak1","Ctrl_HFHS","CC1752LR",4169,NA
"Jak1","Ctrl_HFHS","CC1867R",3724,NA
"Jak1","Ctrl_HFHS","CC3445R",4879,NA
"Jak1","Ctrl_HFHS","CC4056R",2854,NA
"Jak1","Ctrl_HFHS","CC4057LR",5322,NA
"Jak1","Lact_HFHS","CC2962LR",5070,NA
"Jak1","Lact_HFHS","CC3772L",5149,NA
"Jak1","Lact_HFHS","CC4164L",4785,NA
"Jak1","Lact_HFHS","CC4272LR",4679,NA
"Jak1","Lactation","CC2017LL",3059,NA
"Jak1","Lactation","CC2565R",4356,NA
"Jak1","Lactation","CC2566LR",3356,NA
"Jak1","Lactation","CC4006R",3838,NA
"Jak1","Lactation","CC4007LR",3001,NA
"Jak1","Lactation","CC4113L",3429,NA
"Jak1","Lactation","CC4114R",4332,NA
"Jak1","Postweaning","CC2148R",4075,NA
"Jak1","Postweaning","CC3920LR",3163,NA
"Jak1","Postweaning","CC4058L",3988,NA
"Jak1","Pw_HFHS","CC2379LR",3227,NA
"Jak1","Pw_HFHS","CC2381RR",3843,NA
"Jak1","Pw_HFHS","CC2508R",3486,NA
"Jak1","Pw_HFHS","CC2559L",4306,NA
"Jak1","Pw_HFHS","CC2560R",3392,NA
"Mapk1","Control","CC1643L",3460,NA
"Mapk1","Control","CC1698L",3092,NA
"Mapk1","Control","CC1699R",2297,NA
"Mapk1","Control","CC2968R",2268,NA
"Mapk1","Control","CC3441L",2285,NA
"Mapk1","Ctrl_HFHS","CC1752LR",2900,NA
"Mapk1","Ctrl_HFHS","CC1867R",2416,NA
"Mapk1","Ctrl_HFHS","CC3445R",2786,NA
"Mapk1","Ctrl_HFHS","CC4056R",2454,NA
"Mapk1","Ctrl_HFHS","CC4057LR",3191,NA
"Mapk1","Lact_HFHS","CC3772L",2866,NA
"Mapk1","Lact_HFHS","CC4164L",2852,NA
"Mapk1","Lact_HFHS","CC4272LR",2959,NA
"Mapk1","Lactation","CC2017LL",2502,NA
"Mapk1","Lactation","CC2565R",3313,NA
"Mapk1","Lactation","CC2566LR",2854,NA
"Mapk1","Lactation","CC4006R",3057,NA
"Mapk1","Lactation","CC4007LR",2171,NA
"Mapk1","Lactation","CC4113L",2514,NA
"Mapk1","Lactation","CC4114R",3134,NA
"Mapk1","Postweaning","CC2148R",2824,NA
"Mapk1","Postweaning","CC3920LR",2676,NA
"Mapk1","Postweaning","CC4058L",2672,NA
"Mapk1","Pw_HFHS","CC2379LR",2406,NA
"Mapk1","Pw_HFHS","CC2381RR",2742,NA
"Mapk1","Pw_HFHS","CC2508R",2537,NA
"Mapk1","Pw_HFHS","CC2559L",2629,NA
"Mapk1","Pw_HFHS","CC2560R",2402,NA
"Akt1","Control","CC1643L",3617,NA
"Akt1","Control","CC1698L",3002,NA
"Akt1","Control","CC1699R",3349,NA
"Akt1","Control","CC2968R",1533,NA
"Akt1","Control","CC3441L",2405,NA
"Akt1","Ctrl_HFHS","CC1752LR",2445,NA
"Akt1","Ctrl_HFHS","CC1867R",1846,NA
"Akt1","Ctrl_HFHS","CC3445R",2498,NA
"Akt1","Ctrl_HFHS","CC4056R",1730,NA
"Akt1","Ctrl_HFHS","CC4057LR",3432,NA
"Akt1","Lact_HFHS","CC2962LR",2948,NA
"Akt1","Lact_HFHS","CC3772L",2828,NA
"Akt1","Lact_HFHS","CC3774LR",2199,NA
"Akt1","Lact_HFHS","CC4164L",3040,NA
"Akt1","Lact_HFHS","CC4272LR",2422,NA
"Akt1","Lactation","CC2017LL",1980,NA
"Akt1","Lactation","CC2565R",2626,NA
"Akt1","Lactation","CC2566LR",2068,NA
"Akt1","Lactation","CC4006R",2536,NA
"Akt1","Lactation","CC4007LR",3639,NA
"Akt1","Lactation","CC4113L",3829,NA
"Akt1","Lactation","CC4114R",2874,NA
"Akt1","Postweaning","CC2148R",2606,NA
"Akt1","Postweaning","CC3920LR",1967,NA
"Akt1","Postweaning","CC4058L",2985,NA
"Akt1","Pw_HFHS","CC2379LR",2012,NA
"Akt1","Pw_HFHS","CC2381RR",2963,NA
"Akt1","Pw_HFHS","CC2508R",1836,NA
"Akt1","Pw_HFHS","CC2559L",2105,NA
"Akt1","Pw_HFHS","CC2560R",2410,NA
"Grb2","Control","CC1643L",2382,NA
"Grb2","Control","CC1698L",1883,NA
"Grb2","Control","CC1699R",1967,NA
"Grb2","Control","CC2968R",1063,NA
"Grb2","Control","CC3441L",1263,NA
"Grb2","Ctrl_HFHS","CC1752LR",1739,NA
"Grb2","Ctrl_HFHS","CC1867R",1583,NA
"Grb2","Ctrl_HFHS","CC3445R",2096,NA
"Grb2","Ctrl_HFHS","CC4056R",1212,NA
"Grb2","Ctrl_HFHS","CC4057LR",2574,NA
"Grb2","Lact_HFHS","CC2962LR",2006,NA
"Grb2","Lact_HFHS","CC4164L",2022,NA
"Grb2","Lact_HFHS","CC4272LR",2103,NA
"Grb2","Lactation","CC2017LL",1088,NA
"Grb2","Lactation","CC2565R",1789,NA
"Grb2","Lactation","CC2566LR",1424,NA
"Grb2","Lactation","CC4006R",1785,NA
"Grb2","Lactation","CC4007LR",1551,NA
"Grb2","Lactation","CC4113L",1744,NA
"Grb2","Lactation","CC4114R",1738,NA
"Grb2","Postweaning","CC2148R",2234,NA
"Grb2","Postweaning","CC3920LR",1363,NA
"Grb2","Postweaning","CC4058L",1825,NA
"Grb2","Pw_HFHS","CC2379LR",1647,NA
"Grb2","Pw_HFHS","CC2559L",1652,NA
"Grb2","Pw_HFHS","CC2560R",1581,NA
"Pik3ca","Control","CC1643L",1539,NA
"Pik3ca","Control","CC1698L",1398,NA
"Pik3ca","Control","CC1699R",1116,NA
"Pik3ca","Control","CC2968R",1177,NA
"Pik3ca","Control","CC3441L",1297,NA
"Pik3ca","Ctrl_HFHS","CC1752LR",1488,NA
"Pik3ca","Ctrl_HFHS","CC1867R",1310,NA
"Pik3ca","Ctrl_HFHS","CC3445R",1314,NA
"Pik3ca","Ctrl_HFHS","CC4056R",1400,NA
"Pik3ca","Lact_HFHS","CC2962LR",1819,NA
"Pik3ca","Lact_HFHS","CC3772L",1454,NA
"Pik3ca","Lact_HFHS","CC3774LR",1501,NA
"Pik3ca","Lact_HFHS","CC4164L",1230,NA
"Pik3ca","Lact_HFHS","CC4272LR",1830,NA
"Pik3ca","Lactation","CC2017LL",1435,NA
"Pik3ca","Lactation","CC2565R",1839,NA
"Pik3ca","Lactation","CC2566LR",1536,NA
"Pik3ca","Lactation","CC4006R",1649,NA
"Pik3ca","Lactation","CC4007LR",666,NA
"Pik3ca","Lactation","CC4113L",818,NA
"Pik3ca","Lactation","CC4114R",1860,NA
"Pik3ca","Postweaning","CC2148R",1258,NA
"Pik3ca","Postweaning","CC3920LR",1397,NA
"Pik3ca","Postweaning","CC4058L",872,NA
"Pik3ca","Pw_HFHS","CC2379LR",1149,NA
"Pik3ca","Pw_HFHS","CC2381RR",1202,NA
"Pik3ca","Pw_HFHS","CC2508R",1169,NA
"Pik3ca","Pw_HFHS","CC2559L",1607,NA
"Pik3ca","Pw_HFHS","CC2560R",1489,NA
"Raf1","Control","CC1643L",1011,NA
"Raf1","Control","CC1698L",774,NA
"Raf1","Control","CC1699R",483,NA
"Raf1","Control","CC2968R",545,NA
"Raf1","Control","CC3441L",652,NA
"Raf1","Ctrl_HFHS","CC1752LR",743,NA
"Raf1","Ctrl_HFHS","CC1867R",664,NA
"Raf1","Ctrl_HFHS","CC3445R",817,NA
"Raf1","Ctrl_HFHS","CC4056R",626,NA
"Raf1","Ctrl_HFHS","CC4057LR",1029,NA
"Raf1","Lact_HFHS","CC2962LR",913,NA
"Raf1","Lact_HFHS","CC3772L",958,NA
"Raf1","Lact_HFHS","CC4272LR",972,NA
"Raf1","Lactation","CC2017LL",708,NA
"Raf1","Lactation","CC2565R",890,NA
"Raf1","Lactation","CC2566LR",760,NA
"Raf1","Lactation","CC4006R",780,NA
"Raf1","Lactation","CC4007LR",839,NA
"Raf1","Lactation","CC4113L",919,NA
"Raf1","Lactation","CC4114R",809,NA
"Raf1","Postweaning","CC2148R",694,NA
"Raf1","Postweaning","CC3920LR",643,NA
"Raf1","Postweaning","CC4058L",796,NA
"Raf1","Pw_HFHS","CC2379LR",620,NA
"Raf1","Pw_HFHS","CC2381RR",880,NA
"Raf1","Pw_HFHS","CC2508R",701,NA
"Raf1","Pw_HFHS","CC2559L",779,NA
"Raf1","Pw_HFHS","CC2560R",626,NA
"Socs3","Control","CC1643L",293,NA
"Socs3","Control","CC1698L",349,NA
"Socs3","Control","CC2968R",211,NA
"Socs3","Control","CC3441L",362,NA
"Socs3","Ctrl_HFHS","CC1752LR",263,NA
"Socs3","Ctrl_HFHS","CC1867R",149,NA
"Socs3","Ctrl_HFHS","CC3445R",463,NA
"Socs3","Ctrl_HFHS","CC4056R",169,NA
"Socs3","Ctrl_HFHS","CC4057LR",307,NA
"Socs3","Lact_HFHS","CC2962LR",296,NA
"Socs3","Lact_HFHS","CC3772L",385,NA
"Socs3","Lact_HFHS","CC3774LR",233,NA
"Socs3","Lact_HFHS","CC4164L",310,NA
