"Gene","group","Sample","Expression","is.outlier"
"Thbs1","Control","CC1643L",18324,NA
"Thbs1","Control","CC1698L",18473,NA
"Thbs1","Control","CC1699R",4245,NA
"Thbs1","Control","CC2968R",1150,NA
"Thbs1","Control","CC3441L",1945,NA
"Thbs1","Ctrl_HFHS","CC1867R",3390,NA
"Thbs1","Ctrl_HFHS","CC3445R",4120,NA
"Thbs1","Ctrl_HFHS","CC4057LR",3194,NA
"Thbs1","Lact_HFHS","CC2962LR",6556,NA
"Thbs1","Lact_HFHS","CC3772L",6724,NA
"Thbs1","Lact_HFHS","CC3774LR",6824,NA
"Thbs1","Lact_HFHS","CC4272LR",5558,NA
"Thbs1","Lactation","CC2017LL",243,NA
"Thbs1","Lactation","CC2565R",5705,NA
"Thbs1","Lactation","CC2566LR",648,NA
"Thbs1","Lactation","CC4006R",3559,NA
"Thbs1","Lactation","CC4007LR",8789,NA
"Thbs1","Lactation","CC4113L",4466,NA
"Thbs1","Lactation","CC4114R",10478,NA
"Thbs1","Postweaning","CC2148R",2271,NA
"Thbs1","Postweaning","CC3920LR",963,NA
"Thbs1","Postweaning","CC4058L",6044,NA
"Thbs1","Pw_HFHS","CC2379LR",1662,NA
"Thbs1","Pw_HFHS","CC2381RR",1310,NA
"Thbs1","Pw_HFHS","CC2508R",2535,NA
"Thbs1","Pw_HFHS","CC2559L",18839,NA
"Thbs1","Pw_HFHS","CC2560R",9647,NA
"Jak1","Control","CC1643L",5816,NA
"Jak1","Control","CC1698L",5034,NA
"Jak1","Control","CC1699R",3257,NA
"Jak1","Control","CC2968R",2505,NA
"Jak1","Control","CC3441L",3529,NA
"Jak1","Ctrl_HFHS","CC1752LR",4169,NA
"Jak1","Ctrl_HFHS","CC1867R",3724,NA
"Jak1","Ctrl_HFHS","CC3445R",4879,NA
"Jak1","Ctrl_HFHS","CC4056R",2854,NA
"Jak1","Ctrl_HFHS","CC4057LR",5322,NA
"Jak1","Lact_HFHS","CC2962LR",5070,NA
"Jak1","Lact_HFHS","CC3772L",5149,NA
"Jak1","Lact_HFHS","CC4164L",4785,NA
"Jak1","Lact_HFHS","CC4272LR",4679,NA
"Jak1","Lactation","CC2017LL",3059,NA
"Jak1","Lactation","CC2565R",4356,NA
"Jak1","Lactation","CC2566LR",3356,NA
"Jak1","Lactation","CC4006R",3838,NA
"Jak1","Lactation","CC4007LR",3001,NA
"Jak1","Lactation","CC4113L",3429,NA
"Jak1","Lactation","CC4114R",4332,NA
"Jak1","Postweaning","CC2148R",4075,NA
"Jak1","Postweaning","CC3920LR",3163,NA
"Jak1","Postweaning","CC4058L",3988,NA
"Jak1","Pw_HFHS","CC2379LR",3227,NA
"Jak1","Pw_HFHS","CC2381RR",3843,NA
"Jak1","Pw_HFHS","CC2508R",3486,NA
"Jak1","Pw_HFHS","CC2559L",4306,NA
"Jak1","Pw_HFHS","CC2560R",3392,NA
"Stat3","Control","CC1643L",3618,NA
"Stat3","Control","CC1698L",3365,NA
"Stat3","Control","CC1699R",3555,NA
"Stat3","Control","CC3441L",3689,NA
"Stat3","Ctrl_HFHS","CC1752LR",2737,NA
"Stat3","Ctrl_HFHS","CC1867R",2004,NA
"Stat3","Ctrl_HFHS","CC3445R",2675,NA
"Stat3","Ctrl_HFHS","CC4056R",1895,NA
"Stat3","Ctrl_HFHS","CC4057LR",3265,NA
"Stat3","Lact_HFHS","CC2962LR",2782,NA
"Stat3","Lact_HFHS","CC3772L",3353,NA
"Stat3","Lact_HFHS","CC3774LR",2379,NA
"Stat3","Lact_HFHS","CC4164L",2933,NA
"Stat3","Lact_HFHS","CC4272LR",2547,NA
"Stat3","Lactation","CC2017LL",2083,NA
"Stat3","Lactation","CC2565R",3128,NA
"Stat3","Lactation","CC2566LR",1825,NA
"Stat3","Lactation","CC4006R",2651,NA
"Stat3","Lactation","CC4007LR",3102,NA
"Stat3","Lactation","CC4113L",3658,NA
"Stat3","Lactation","CC4114R",3435,NA
"Stat3","Postweaning","CC2148R",1535,NA
"Stat3","Postweaning","CC3920LR",2011,NA
"Stat3","Postweaning","CC4058L",3054,NA
"Stat3","Pw_HFHS","CC2379LR",1703,NA
"Stat3","Pw_HFHS","CC2381RR",1503,NA
"Stat3","Pw_HFHS","CC2508R",2035,NA
"Stat3","Pw_HFHS","CC2559L",2936,NA
"Stat3","Pw_HFHS","CC2560R",2842,NA
"Lifr","Control","CC1643L",1778,NA
"Lifr","Control","CC1698L",1395,NA
"Lifr","Control","CC1699R",1632,NA
"Lifr","Control","CC3441L",1310,NA
"Lifr","Ctrl_HFHS","CC1752LR",1511,NA
"Lifr","Ctrl_HFHS","CC1867R",1395,NA
"Lifr","Ctrl_HFHS","CC3445R",1353,NA
"Lifr","Ctrl_HFHS","CC4056R",1233,NA
"Lifr","Lact_HFHS","CC3772L",1662,NA
"Lifr","Lact_HFHS","CC3774LR",1423,NA
"Lifr","Lact_HFHS","CC4164L",1283,NA
"Lifr","Lact_HFHS","CC4272LR",1461,NA
"Lifr","Lactation","CC2017LL",1305,NA
"Lifr","Lactation","CC2565R",1538,NA
"Lifr","Lactation","CC2566LR",1075,NA
"Lifr","Lactation","CC4006R",1125,NA
"Lifr","Lactation","CC4007LR",860,NA
"Lifr","Lactation","CC4113L",1147,NA
"Lifr","Lactation","CC4114R",1503,NA
"Lifr","Postweaning","CC2148R",1028,NA
"Lifr","Postweaning","CC3920LR",1040,NA
"Lifr","Postweaning","CC4058L",1044,NA
"Lifr","Pw_HFHS","CC2379LR",817,NA
"Lifr","Pw_HFHS","CC2381RR",997,NA
"Lifr","Pw_HFHS","CC2508R",945,NA
"Lifr","Pw_HFHS","CC2560R",1062,NA
"Cd9","Control","CC1643L",1000,NA
"Cd9","Control","CC1698L",1048,NA
"Cd9","Control","CC1699R",1486,NA
"Cd9","Control","CC2968R",619,NA
"Cd9","Control","CC3441L",716,NA
"Cd9","Ctrl_HFHS","CC1752LR",725,NA
"Cd9","Ctrl_HFHS","CC1867R",689,NA
"Cd9","Ctrl_HFHS","CC3445R",1749,NA
"Cd9","Ctrl_HFHS","CC4056R",505,NA
"Cd9","Ctrl_HFHS","CC4057LR",1794,NA
"Cd9","Lact_HFHS","CC2962LR",1290,NA
"Cd9","Lact_HFHS","CC3772L",1210,NA
"Cd9","Lact_HFHS","CC3774LR",818,NA
"Cd9","Lact_HFHS","CC4164L",832,NA
"Cd9","Lact_HFHS","CC4272LR",1328,NA
"Cd9","Lactation","CC2017LL",707,NA
"Cd9","Lactation","CC2565R",1417,NA
"Cd9","Lactation","CC2566LR",828,NA
"Cd9","Lactation","CC4006R",1037,NA
"Cd9","Lactation","CC4007LR",768,NA
"Cd9","Lactation","CC4113L",683,NA
"Cd9","Lactation","CC4114R",1168,NA
"Cd9","Postweaning","CC2148R",3358,NA
"Cd9","Postweaning","CC3920LR",689,NA
"Cd9","Postweaning","CC4058L",598,NA
"Cd9","Pw_HFHS","CC2379LR",938,NA
"Cd9","Pw_HFHS","CC2559L",843,NA
"Cd9","Pw_HFHS","CC2560R",974,NA
"Raf1","Control","CC1643L",1011,NA
"Raf1","Control","CC1698L",774,NA
"Raf1","Control","CC1699R",483,NA
"Raf1","Control","CC2968R",545,NA
"Raf1","Control","CC3441L",652,NA
"Raf1","Ctrl_HFHS","CC1752LR",743,NA
"Raf1","Ctrl_HFHS","CC1867R",664,NA
"Raf1","Ctrl_HFHS","CC3445R",817,NA
"Raf1","Ctrl_HFHS","CC4056R",626,NA
"Raf1","Ctrl_HFHS","CC4057LR",1029,NA
"Raf1","Lact_HFHS","CC2962LR",913,NA
"Raf1","Lact_HFHS","CC3772L",958,NA
"Raf1","Lact_HFHS","CC4272LR",972,NA
"Raf1","Lactation","CC2017LL",708,NA
"Raf1","Lactation","CC2565R",890,NA
"Raf1","Lactation","CC2566LR",760,NA
"Raf1","Lactation","CC4006R",780,NA
"Raf1","Lactation","CC4007LR",839,NA
"Raf1","Lactation","CC4113L",919,NA
"Raf1","Lactation","CC4114R",809,NA
"Raf1","Postweaning","CC2148R",694,NA
"Raf1","Postweaning","CC3920LR",643,NA
"Raf1","Postweaning","CC4058L",796,NA
"Raf1","Pw_HFHS","CC2379LR",620,NA
"Raf1","Pw_HFHS","CC2381RR",880,NA
"Raf1","Pw_HFHS","CC2508R",701,NA
"Raf1","Pw_HFHS","CC2559L",779,NA
"Raf1","Pw_HFHS","CC2560R",626,NA
"Lif","Control","CC1698L",46,NA
"Lif","Control","CC1699R",37,NA
"Lif","Control","CC2968R",32,NA
"Lif","Control","CC3441L",53,NA
"Lif","Ctrl_HFHS","CC1752LR",47,NA
"Lif","Ctrl_HFHS","CC1867R",36,NA
"Lif","Ctrl_HFHS","CC3445R",80,NA
"Lif","Ctrl_HFHS","CC4056R",37,NA
"Lif","Ctrl_HFHS","CC4057LR",60,NA
"Lif","Lact_HFHS","CC2962LR",45,NA
"Lif","Lact_HFHS","CC3772L",105,NA
"Lif","Lact_HFHS","CC3774LR",47,NA
"Lif","Lact_HFHS","CC4164L",97,NA
"Lif","Lact_HFHS","CC4272LR",58,NA
"Lif","Lactation","CC2017LL",39,NA
"Lif","Lactation","CC2565R",47,NA
"Lif","Lactation","CC2566LR",45,NA
"Lif","Lactation","CC4006R",55,NA
"Lif","Lactation","CC4007LR",34,NA
"Lif","Lactation","CC4113L",54,NA
"Lif","Postweaning","CC2148R",78,NA
"Lif","Postweaning","CC3920LR",49,NA
"Lif","Postweaning","CC4058L",49,NA
"Lif","Pw_HFHS","CC2379LR",46,NA
"Lif","Pw_HFHS","CC2381RR",44,NA
"Lif","Pw_HFHS","CC2508R",42,NA
"Lif","Pw_HFHS","CC2559L",31,NA
"Lif","Pw_HFHS","CC2560R",33,NA
