"Gene","group","Sample","Expression","is.outlier"
"B4galt1","Control","CC1643L",2154,NA
"B4galt1","Control","CC1698L",2010,NA
"B4galt1","Control","CC1699R",2245,NA
"B4galt1","Control","CC2968R",1118,NA
"B4galt1","Control","CC3441L",1651,NA
"B4galt1","Ctrl_HFHS","CC1752LR",2059,NA
"B4galt1","Ctrl_HFHS","CC3445R",1592,NA
"B4galt1","Ctrl_HFHS","CC4056R",1612,NA
"B4galt1","Ctrl_HFHS","CC4057LR",1816,NA
"B4galt1","Lact_HFHS","CC2962LR",1655,NA
"B4galt1","Lact_HFHS","CC3772L",1655,NA
"B4galt1","Lact_HFHS","CC3774LR",1726,NA
"B4galt1","Lactation","CC2017LL",1684,NA
"B4galt1","Lactation","CC2565R",2009,NA
"B4galt1","Lactation","CC2566LR",1324,NA
"B4galt1","Lactation","CC4006R",2152,NA
"B4galt1","Lactation","CC4007LR",2008,NA
"B4galt1","Lactation","CC4113L",2221,NA
"B4galt1","Lactation","CC4114R",1819,NA
"B4galt1","Postweaning","CC2148R",1273,NA
"B4galt1","Postweaning","CC3920LR",1410,NA
"B4galt1","Postweaning","CC4058L",1501,NA
"B4galt1","Pw_HFHS","CC2379LR",1311,NA
"B4galt1","Pw_HFHS","CC2381RR",1294,NA
"B4galt1","Pw_HFHS","CC2508R",1796,NA
"B4galt1","Pw_HFHS","CC2559L",1813,NA
"B4galt1","Pw_HFHS","CC2560R",2195,NA
"Fcgr2b","Control","CC1643L",1477,NA
"Fcgr2b","Control","CC1698L",1387,NA
"Fcgr2b","Control","CC3441L",1390,NA
"Fcgr2b","Ctrl_HFHS","CC1752LR",1765,NA
"Fcgr2b","Ctrl_HFHS","CC1867R",763,NA
"Fcgr2b","Ctrl_HFHS","CC3445R",1385,NA
"Fcgr2b","Ctrl_HFHS","CC4056R",589,NA
"Fcgr2b","Ctrl_HFHS","CC4057LR",1593,NA
"Fcgr2b","Lact_HFHS","CC2962LR",1487,NA
"Fcgr2b","Lact_HFHS","CC3772L",1430,NA
"Fcgr2b","Lact_HFHS","CC3774LR",919,NA
"Fcgr2b","Lact_HFHS","CC4164L",1037,NA
"Fcgr2b","Lact_HFHS","CC4272LR",960,NA
"Fcgr2b","Lactation","CC2017LL",1201,NA
"Fcgr2b","Lactation","CC2565R",1296,NA
"Fcgr2b","Lactation","CC2566LR",1151,NA
"Fcgr2b","Lactation","CC4006R",1738,NA
"Fcgr2b","Lactation","CC4007LR",555,NA
"Fcgr2b","Lactation","CC4113L",1036,NA
"Fcgr2b","Lactation","CC4114R",1622,NA
"Fcgr2b","Postweaning","CC2148R",1665,NA
"Fcgr2b","Postweaning","CC3920LR",911,NA
"Fcgr2b","Postweaning","CC4058L",655,NA
"Fcgr2b","Pw_HFHS","CC2379LR",1181,NA
"Fcgr2b","Pw_HFHS","CC2381RR",3634,NA
"Fcgr2b","Pw_HFHS","CC2508R",818,NA
"Fcgr2b","Pw_HFHS","CC2559L",1224,NA
"Fcgr2b","Pw_HFHS","CC2560R",2183,NA
"Fut8","Control","CC1643L",676,NA
"Fut8","Control","CC1698L",584,NA
"Fut8","Control","CC1699R",665,NA
"Fut8","Control","CC2968R",472,NA
"Fut8","Control","CC3441L",523,NA
"Fut8","Ctrl_HFHS","CC1752LR",710,NA
"Fut8","Ctrl_HFHS","CC1867R",543,NA
"Fut8","Ctrl_HFHS","CC3445R",572,NA
"Fut8","Ctrl_HFHS","CC4056R",510,NA
"Fut8","Ctrl_HFHS","CC4057LR",666,NA
"Fut8","Lact_HFHS","CC2962LR",598,NA
"Fut8","Lact_HFHS","CC3772L",572,NA
"Fut8","Lact_HFHS","CC3774LR",583,NA
"Fut8","Lactation","CC2017LL",597,NA
"Fut8","Lactation","CC2565R",688,NA
"Fut8","Lactation","CC2566LR",707,NA
"Fut8","Lactation","CC4006R",622,NA
"Fut8","Lactation","CC4007LR",280,NA
"Fut8","Lactation","CC4113L",391,NA
"Fut8","Lactation","CC4114R",732,NA
"Fut8","Postweaning","CC2148R",595,NA
"Fut8","Postweaning","CC3920LR",611,NA
"Fut8","Postweaning","CC4058L",485,NA
"Fut8","Pw_HFHS","CC2379LR",467,NA
"Fut8","Pw_HFHS","CC2508R",411,NA
"Fut8","Pw_HFHS","CC2559L",577,NA
"Fut8","Pw_HFHS","CC2560R",572,NA
"St6gal1","Control","CC1643L",755,NA
"St6gal1","Control","CC1698L",576,NA
"St6gal1","Control","CC1699R",391,NA
"St6gal1","Control","CC2968R",226,NA
"St6gal1","Control","CC3441L",421,NA
"St6gal1","Ctrl_HFHS","CC1752LR",843,NA
"St6gal1","Ctrl_HFHS","CC1867R",394,NA
"St6gal1","Ctrl_HFHS","CC3445R",548,NA
"St6gal1","Ctrl_HFHS","CC4056R",321,NA
"St6gal1","Ctrl_HFHS","CC4057LR",779,NA
"St6gal1","Lact_HFHS","CC2962LR",586,NA
"St6gal1","Lact_HFHS","CC3772L",610,NA
"St6gal1","Lact_HFHS","CC3774LR",471,NA
"St6gal1","Lact_HFHS","CC4164L",466,NA
"St6gal1","Lact_HFHS","CC4272LR",381,NA
"St6gal1","Lactation","CC2017LL",454,NA
"St6gal1","Lactation","CC2565R",582,NA
"St6gal1","Lactation","CC2566LR",323,NA
"St6gal1","Lactation","CC4006R",478,NA
"St6gal1","Lactation","CC4007LR",527,NA
"St6gal1","Lactation","CC4113L",548,NA
"St6gal1","Lactation","CC4114R",615,NA
"St6gal1","Postweaning","CC2148R",716,NA
"St6gal1","Postweaning","CC3920LR",332,NA
"St6gal1","Postweaning","CC4058L",485,NA
"St6gal1","Pw_HFHS","CC2379LR",429,NA
"St6gal1","Pw_HFHS","CC2381RR",682,NA
"St6gal1","Pw_HFHS","CC2508R",392,NA
"St6gal1","Pw_HFHS","CC2559L",544,NA
"St6gal1","Pw_HFHS","CC2560R",620,NA
