"Gene","group","Sample","Expression","is.outlier"
"Igha","Control","CC1643L",26,NA
"Igha","Control","CC1698L",49,NA
"Igha","Control","CC1699R",94,NA
"Igha","Control","CC2968R",102,NA
"Igha","Control","CC3441L",44,NA
"Igha","Ctrl_HFHS","CC1752LR",833,NA
"Igha","Ctrl_HFHS","CC1867R",5,NA
"Igha","Ctrl_HFHS","CC3445R",99,NA
"Igha","Ctrl_HFHS","CC4056R",357,NA
"Igha","Lact_HFHS","CC2962LR",67,NA
"Igha","Lact_HFHS","CC3774LR",76,NA
"Igha","Lact_HFHS","CC4272LR",54,NA
"Igha","Lactation","CC2017LL",14,NA
"Igha","Lactation","CC2565R",98,NA
"Igha","Lactation","CC2566LR",20,NA
"Igha","Lactation","CC4006R",114,NA
"Igha","Lactation","CC4007LR",101,NA
"Igha","Lactation","CC4113L",41,NA
"Igha","Lactation","CC4114R",35,NA
"Igha","Postweaning","CC2148R",430,NA
"Igha","Postweaning","CC3920LR",39,NA
"Igha","Postweaning","CC4058L",34,NA
"Igha","Pw_HFHS","CC2379LR",42,NA
"Igha","Pw_HFHS","CC2381RR",1,NA
"Igha","Pw_HFHS","CC2508R",37,NA
"Igha","Pw_HFHS","CC2559L",11,NA
"Igha","Pw_HFHS","CC2560R",66,NA
"Ighv1-53","Control","CC1643L",35,NA
"Ighv1-53","Control","CC1698L",55,NA
"Ighv1-53","Control","CC1699R",6,NA
"Ighv1-53","Control","CC2968R",0,NA
"Ighv1-53","Control","CC3441L",6,NA
"Ighv1-53","Ctrl_HFHS","CC1867R",17,NA
"Ighv1-53","Ctrl_HFHS","CC3445R",9,NA
"Ighv1-53","Ctrl_HFHS","CC4056R",5,NA
"Ighv1-53","Ctrl_HFHS","CC4057LR",8,NA
"Ighv1-53","Lact_HFHS","CC2962LR",18,NA
"Ighv1-53","Lact_HFHS","CC3774LR",4,NA
"Ighv1-53","Lact_HFHS","CC4164L",0,NA
"Ighv1-53","Lact_HFHS","CC4272LR",0,NA
"Ighv1-53","Lactation","CC2017LL",19,NA
"Ighv1-53","Lactation","CC2565R",12,NA
"Ighv1-53","Lactation","CC2566LR",7,NA
"Ighv1-53","Lactation","CC4006R",28,NA
"Ighv1-53","Lactation","CC4007LR",3,NA
"Ighv1-53","Lactation","CC4113L",0,NA
"Ighv1-53","Lactation","CC4114R",6,NA
"Ighv1-53","Postweaning","CC2148R",349,NA
"Ighv1-53","Postweaning","CC3920LR",3,NA
"Ighv1-53","Postweaning","CC4058L",4,NA
"Ighv1-53","Pw_HFHS","CC2381RR",2,NA
"Ighv1-53","Pw_HFHS","CC2508R",1,NA
"Ighv1-53","Pw_HFHS","CC2559L",3,NA
"Ighv1-53","Pw_HFHS","CC2560R",4,NA
"Ighv1-82","Control","CC1643L",3,NA
"Ighv1-82","Control","CC1698L",5,NA
"Ighv1-82","Control","CC1699R",4,NA
"Ighv1-82","Control","CC2968R",5,NA
"Ighv1-82","Control","CC3441L",0,NA
"Ighv1-82","Ctrl_HFHS","CC1752LR",184,NA
"Ighv1-82","Ctrl_HFHS","CC1867R",0,NA
"Ighv1-82","Ctrl_HFHS","CC3445R",2,NA
"Ighv1-82","Ctrl_HFHS","CC4056R",7,NA
"Ighv1-82","Ctrl_HFHS","CC4057LR",120,NA
"Ighv1-82","Lact_HFHS","CC2962LR",3,NA
"Ighv1-82","Lact_HFHS","CC3774LR",0,NA
"Ighv1-82","Lact_HFHS","CC4164L",3,NA
"Ighv1-82","Lact_HFHS","CC4272LR",0,NA
"Ighv1-82","Lactation","CC2017LL",3,NA
"Ighv1-82","Lactation","CC2565R",2,NA
"Ighv1-82","Lactation","CC2566LR",0,NA
"Ighv1-82","Lactation","CC4006R",0,NA
"Ighv1-82","Lactation","CC4007LR",0,NA
"Ighv1-82","Lactation","CC4113L",1,NA
"Ighv1-82","Postweaning","CC2148R",29,NA
"Ighv1-82","Postweaning","CC3920LR",4,NA
"Ighv1-82","Postweaning","CC4058L",13,NA
"Ighv1-82","Pw_HFHS","CC2379LR",3,NA
"Ighv1-82","Pw_HFHS","CC2508R",2,NA
"Ighv1-82","Pw_HFHS","CC2559L",2,NA
"Ighv1-82","Pw_HFHS","CC2560R",3,NA
"Ighv1-54","Control","CC1643L",0,NA
"Ighv1-54","Control","CC1699R",0,NA
"Ighv1-54","Control","CC2968R",0,NA
"Ighv1-54","Control","CC3441L",0,NA
"Ighv1-54","Ctrl_HFHS","CC1752LR",14,NA
"Ighv1-54","Ctrl_HFHS","CC1867R",0,NA
"Ighv1-54","Ctrl_HFHS","CC3445R",0,NA
"Ighv1-54","Ctrl_HFHS","CC4056R",0,NA
"Ighv1-54","Lact_HFHS","CC2962LR",0,NA
"Ighv1-54","Lact_HFHS","CC3774LR",0,NA
"Ighv1-54","Lact_HFHS","CC4164L",0,NA
"Ighv1-54","Lact_HFHS","CC4272LR",0,NA
"Ighv1-54","Lactation","CC2017LL",0,NA
"Ighv1-54","Lactation","CC2565R",2,NA
"Ighv1-54","Lactation","CC2566LR",0,NA
"Ighv1-54","Lactation","CC4006R",0,NA
"Ighv1-54","Lactation","CC4007LR",1,NA
"Ighv1-54","Lactation","CC4113L",0,NA
"Ighv1-54","Lactation","CC4114R",1,NA
"Ighv1-54","Postweaning","CC2148R",18,NA
"Ighv1-54","Postweaning","CC3920LR",1,NA
"Ighv1-54","Postweaning","CC4058L",0,NA
"Ighv1-54","Pw_HFHS","CC2379LR",0,NA
"Ighv1-54","Pw_HFHS","CC2381RR",0,NA
"Ighv1-54","Pw_HFHS","CC2508R",0,NA
"Ighv1-54","Pw_HFHS","CC2559L",0,NA
"Ighv2-6","Control","CC1643L",0,NA
"Ighv2-6","Control","CC1698L",0,NA
"Ighv2-6","Control","CC1699R",0,NA
"Ighv2-6","Control","CC2968R",0,NA
"Ighv2-6","Control","CC3441L",0,NA
"Ighv2-6","Ctrl_HFHS","CC1867R",0,NA
"Ighv2-6","Ctrl_HFHS","CC3445R",0,NA
"Ighv2-6","Ctrl_HFHS","CC4056R",0,NA
"Ighv2-6","Ctrl_HFHS","CC4057LR",15,NA
"Ighv2-6","Lact_HFHS","CC2962LR",0,NA
