"Gene","group","Sample","Expression","is.outlier"
"Bcl2","Control","CC1643L",618,NA
"Bcl2","Control","CC1698L",665,NA
"Bcl2","Control","CC1699R",407,NA
"Bcl2","Control","CC2968R",265,NA
"Bcl2","Control","CC3441L",396,NA
"Bcl2","Ctrl_HFHS","CC1752LR",512,NA
"Bcl2","Ctrl_HFHS","CC1867R",406,NA
"Bcl2","Ctrl_HFHS","CC3445R",410,NA
"Bcl2","Ctrl_HFHS","CC4056R",300,NA
"Bcl2","Ctrl_HFHS","CC4057LR",477,NA
"Bcl2","Lact_HFHS","CC2962LR",630,NA
"Bcl2","Lact_HFHS","CC3772L",562,NA
"Bcl2","Lact_HFHS","CC3774LR",467,NA
"Bcl2","Lact_HFHS","CC4164L",394,NA
"Bcl2","Lact_HFHS","CC4272LR",515,NA
"Bcl2","Lactation","CC2017LL",153,NA
"Bcl2","Lactation","CC2565R",416,NA
"Bcl2","Lactation","CC2566LR",275,NA
"Bcl2","Lactation","CC4006R",350,NA
"Bcl2","Lactation","CC4007LR",321,NA
"Bcl2","Lactation","CC4113L",159,NA
"Bcl2","Lactation","CC4114R",358,NA
"Bcl2","Postweaning","CC2148R",251,NA
"Bcl2","Postweaning","CC3920LR",321,NA
"Bcl2","Postweaning","CC4058L",245,NA
"Bcl2","Pw_HFHS","CC2379LR",376,NA
"Bcl2","Pw_HFHS","CC2508R",402,NA
"Bcl2","Pw_HFHS","CC2560R",346,NA
"Cntfr","Control","CC1643L",145,NA
"Cntfr","Control","CC1698L",248,NA
"Cntfr","Control","CC1699R",198,NA
"Cntfr","Control","CC2968R",77,NA
"Cntfr","Control","CC3441L",75,NA
"Cntfr","Ctrl_HFHS","CC1752LR",196,NA
"Cntfr","Ctrl_HFHS","CC1867R",199,NA
"Cntfr","Ctrl_HFHS","CC4056R",200,NA
"Cntfr","Ctrl_HFHS","CC4057LR",190,NA
"Cntfr","Lact_HFHS","CC2962LR",209,NA
"Cntfr","Lact_HFHS","CC3772L",144,NA
"Cntfr","Lact_HFHS","CC3774LR",172,NA
"Cntfr","Lact_HFHS","CC4164L",218,NA
"Cntfr","Lact_HFHS","CC4272LR",164,NA
"Cntfr","Lactation","CC2017LL",110,NA
"Cntfr","Lactation","CC2565R",282,NA
"Cntfr","Lactation","CC2566LR",271,NA
"Cntfr","Lactation","CC4006R",132,NA
"Cntfr","Lactation","CC4007LR",219,NA
"Cntfr","Lactation","CC4113L",116,NA
"Cntfr","Lactation","CC4114R",172,NA
"Cntfr","Postweaning","CC2148R",62,NA
"Cntfr","Postweaning","CC3920LR",256,NA
"Cntfr","Postweaning","CC4058L",258,NA
"Cntfr","Pw_HFHS","CC2379LR",68,NA
"Cntfr","Pw_HFHS","CC2381RR",56,NA
"Cntfr","Pw_HFHS","CC2508R",53,NA
"Cntfr","Pw_HFHS","CC2559L",38,NA
"Cntfr","Pw_HFHS","CC2560R",45,NA
"Ctf1","Control","CC1643L",109,NA
"Ctf1","Control","CC1698L",84,NA
"Ctf1","Control","CC2968R",113,NA
"Ctf1","Control","CC3441L",101,NA
"Ctf1","Ctrl_HFHS","CC1867R",60,NA
"Ctf1","Ctrl_HFHS","CC3445R",83,NA
"Ctf1","Ctrl_HFHS","CC4056R",79,NA
"Ctf1","Ctrl_HFHS","CC4057LR",69,NA
"Ctf1","Lact_HFHS","CC2962LR",102,NA
"Ctf1","Lact_HFHS","CC3772L",63,NA
"Ctf1","Lact_HFHS","CC3774LR",77,NA
"Ctf1","Lact_HFHS","CC4164L",110,NA
"Ctf1","Lact_HFHS","CC4272LR",109,NA
"Ctf1","Lactation","CC2017LL",181,NA
"Ctf1","Lactation","CC2565R",130,NA
"Ctf1","Lactation","CC2566LR",233,NA
"Ctf1","Lactation","CC4006R",138,NA
"Ctf1","Lactation","CC4007LR",213,NA
"Ctf1","Lactation","CC4113L",264,NA
"Ctf1","Lactation","CC4114R",119,NA
"Ctf1","Postweaning","CC2148R",70,NA
"Ctf1","Postweaning","CC3920LR",233,NA
"Ctf1","Postweaning","CC4058L",102,NA
"Ctf1","Pw_HFHS","CC2379LR",139,NA
"Ctf1","Pw_HFHS","CC2381RR",60,NA
"Ctf1","Pw_HFHS","CC2508R",108,NA
"Ctf1","Pw_HFHS","CC2559L",101,NA
"Ctf1","Pw_HFHS","CC2560R",132,NA
"Gfap","Control","CC1643L",9,NA
"Gfap","Control","CC1698L",4,NA
"Gfap","Control","CC1699R",9,NA
"Gfap","Control","CC2968R",5,NA
"Gfap","Control","CC3441L",3,NA
"Gfap","Ctrl_HFHS","CC1752LR",8,NA
"Gfap","Ctrl_HFHS","CC1867R",3,NA
"Gfap","Ctrl_HFHS","CC3445R",5,NA
"Gfap","Ctrl_HFHS","CC4056R",5,NA
"Gfap","Ctrl_HFHS","CC4057LR",1,NA
"Gfap","Lact_HFHS","CC3772L",2,NA
"Gfap","Lact_HFHS","CC3774LR",1,NA
"Gfap","Lact_HFHS","CC4164L",0,NA
"Gfap","Lact_HFHS","CC4272LR",2,NA
"Gfap","Lactation","CC2017LL",2,NA
"Gfap","Lactation","CC2565R",17,NA
"Gfap","Lactation","CC2566LR",12,NA
"Gfap","Lactation","CC4006R",9,NA
"Gfap","Lactation","CC4007LR",25,NA
"Gfap","Lactation","CC4113L",13,NA
"Gfap","Lactation","CC4114R",16,NA
"Gfap","Postweaning","CC2148R",4,NA
"Gfap","Postweaning","CC3920LR",7,NA
"Gfap","Postweaning","CC4058L",101,NA
"Gfap","Pw_HFHS","CC2379LR",1,NA
"Gfap","Pw_HFHS","CC2381RR",2,NA
"Gfap","Pw_HFHS","CC2508R",7,NA
"Gfap","Pw_HFHS","CC2559L",7,NA
"Gfap","Pw_HFHS","CC2560R",7,NA
"Il13ra2","Control","CC1698L",8,NA
"Il13ra2","Control","CC1699R",5,NA
"Il13ra2","Control","CC2968R",1,NA
"Il13ra2","Control","CC3441L",8,NA
"Il13ra2","Ctrl_HFHS","CC1752LR",6,NA
"Il13ra2","Ctrl_HFHS","CC1867R",70,NA
"Il13ra2","Ctrl_HFHS","CC3445R",234,NA
"Il13ra2","Ctrl_HFHS","CC4056R",19,NA
"Il13ra2","Ctrl_HFHS","CC4057LR",259,NA
"Il13ra2","Lact_HFHS","CC2962LR",71,NA
"Il13ra2","Lact_HFHS","CC3772L",89,NA
"Il13ra2","Lact_HFHS","CC3774LR",53,NA
"Il13ra2","Lact_HFHS","CC4164L",113,NA
"Il13ra2","Lact_HFHS","CC4272LR",27,NA
"Il13ra2","Lactation","CC2017LL",2,NA
"Il13ra2","Lactation","CC2565R",17,NA
"Il13ra2","Lactation","CC2566LR",8,NA
"Il13ra2","Lactation","CC4006R",20,NA
"Il13ra2","Lactation","CC4007LR",3,NA
"Il13ra2","Lactation","CC4113L",0,NA
