"Gene","group","Sample","Expression","is.outlier"
"Igkv6-15","Control","CC1643L",3,NA
"Igkv6-15","Control","CC1698L",1,NA
"Igkv6-15","Control","CC1699R",0,NA
"Igkv6-15","Control","CC3441L",1,NA
"Igkv6-15","Ctrl_HFHS","CC1867R",4,NA
"Igkv6-15","Ctrl_HFHS","CC3445R",10,NA
"Igkv6-15","Ctrl_HFHS","CC4056R",0,NA
"Igkv6-15","Ctrl_HFHS","CC4057LR",1,NA
"Igkv6-15","Lact_HFHS","CC2962LR",1,NA
"Igkv6-15","Lact_HFHS","CC3772L",4,NA
"Igkv6-15","Lact_HFHS","CC3774LR",0,NA
"Igkv6-15","Lact_HFHS","CC4164L",1,NA
"Igkv6-15","Lact_HFHS","CC4272LR",5,NA
"Igkv6-15","Lactation","CC2017LL",1,NA
"Igkv6-15","Lactation","CC2565R",5,NA
"Igkv6-15","Lactation","CC2566LR",6,NA
"Igkv6-15","Lactation","CC4006R",6,NA
"Igkv6-15","Lactation","CC4007LR",6,NA
"Igkv6-15","Lactation","CC4113L",0,NA
"Igkv6-15","Lactation","CC4114R",9,NA
"Igkv6-15","Postweaning","CC2148R",84,NA
"Igkv6-15","Postweaning","CC3920LR",2,NA
"Igkv6-15","Postweaning","CC4058L",2,NA
"Igkv6-15","Pw_HFHS","CC2379LR",8,NA
"Igkv6-15","Pw_HFHS","CC2381RR",3,NA
"Igkv6-15","Pw_HFHS","CC2508R",4,NA
"Igkv6-15","Pw_HFHS","CC2559L",0,NA
"Igkv6-15","Pw_HFHS","CC2560R",13,NA
"Igkv6-20","Control","CC1643L",2,NA
"Igkv6-20","Control","CC1698L",2,NA
"Igkv6-20","Control","CC1699R",4,NA
"Igkv6-20","Control","CC2968R",3,NA
"Igkv6-20","Control","CC3441L",1,NA
"Igkv6-20","Ctrl_HFHS","CC1867R",0,NA
"Igkv6-20","Ctrl_HFHS","CC3445R",8,NA
"Igkv6-20","Ctrl_HFHS","CC4056R",0,NA
"Igkv6-20","Ctrl_HFHS","CC4057LR",7,NA
"Igkv6-20","Lact_HFHS","CC2962LR",0,NA
"Igkv6-20","Lact_HFHS","CC3774LR",0,NA
"Igkv6-20","Lact_HFHS","CC4164L",0,NA
"Igkv6-20","Lact_HFHS","CC4272LR",0,NA
"Igkv6-20","Lactation","CC2017LL",5,NA
"Igkv6-20","Lactation","CC2565R",5,NA
"Igkv6-20","Lactation","CC2566LR",2,NA
"Igkv6-20","Lactation","CC4006R",0,NA
"Igkv6-20","Lactation","CC4007LR",1,NA
"Igkv6-20","Lactation","CC4113L",0,NA
"Igkv6-20","Postweaning","CC2148R",148,NA
"Igkv6-20","Postweaning","CC3920LR",5,NA
"Igkv6-20","Postweaning","CC4058L",0,NA
"Igkv6-20","Pw_HFHS","CC2379LR",0,NA
"Igkv6-20","Pw_HFHS","CC2381RR",3,NA
"Igkv6-20","Pw_HFHS","CC2508R",0,NA
"Igkv6-20","Pw_HFHS","CC2559L",0,NA
"Igkv6-20","Pw_HFHS","CC2560R",5,NA
"Igkv17-121","Control","CC1643L",2,NA
"Igkv17-121","Control","CC1698L",8,NA
"Igkv17-121","Control","CC1699R",15,NA
"Igkv17-121","Control","CC2968R",5,NA
"Igkv17-121","Control","CC3441L",3,NA
"Igkv17-121","Ctrl_HFHS","CC1867R",0,NA
"Igkv17-121","Ctrl_HFHS","CC3445R",6,NA
"Igkv17-121","Ctrl_HFHS","CC4056R",0,NA
"Igkv17-121","Ctrl_HFHS","CC4057LR",9,NA
"Igkv17-121","Lact_HFHS","CC2962LR",1,NA
"Igkv17-121","Lact_HFHS","CC3774LR",1,NA
"Igkv17-121","Lact_HFHS","CC4164L",0,NA
"Igkv17-121","Lact_HFHS","CC4272LR",0,NA
"Igkv17-121","Lactation","CC2017LL",0,NA
"Igkv17-121","Lactation","CC2565R",0,NA
"Igkv17-121","Lactation","CC2566LR",0,NA
"Igkv17-121","Lactation","CC4006R",6,NA
"Igkv17-121","Lactation","CC4007LR",4,NA
"Igkv17-121","Lactation","CC4113L",0,NA
"Igkv17-121","Lactation","CC4114R",5,NA
"Igkv17-121","Postweaning","CC2148R",76,NA
"Igkv17-121","Postweaning","CC3920LR",0,NA
"Igkv17-121","Postweaning","CC4058L",0,NA
"Igkv17-121","Pw_HFHS","CC2381RR",3,NA
"Igkv17-121","Pw_HFHS","CC2508R",1,NA
"Igkv17-121","Pw_HFHS","CC2559L",1,NA
"Igkv17-121","Pw_HFHS","CC2560R",0,NA
"Igkv14-111","Control","CC1643L",1,NA
"Igkv14-111","Control","CC1699R",1,NA
"Igkv14-111","Control","CC3441L",1,NA
"Igkv14-111","Ctrl_HFHS","CC1867R",15,NA
"Igkv14-111","Ctrl_HFHS","CC3445R",14,NA
"Igkv14-111","Ctrl_HFHS","CC4056R",1,NA
"Igkv14-111","Ctrl_HFHS","CC4057LR",7,NA
"Igkv14-111","Lact_HFHS","CC2962LR",1,NA
"Igkv14-111","Lact_HFHS","CC3772L",7,NA
"Igkv14-111","Lact_HFHS","CC3774LR",4,NA
"Igkv14-111","Lact_HFHS","CC4164L",1,NA
"Igkv14-111","Lact_HFHS","CC4272LR",0,NA
"Igkv14-111","Lactation","CC2017LL",3,NA
"Igkv14-111","Lactation","CC2565R",11,NA
"Igkv14-111","Lactation","CC2566LR",4,NA
"Igkv14-111","Lactation","CC4006R",1,NA
"Igkv14-111","Lactation","CC4007LR",6,NA
"Igkv14-111","Lactation","CC4113L",16,NA
"Igkv14-111","Lactation","CC4114R",2,NA
"Igkv14-111","Postweaning","CC2148R",28,NA
"Igkv14-111","Postweaning","CC3920LR",5,NA
"Igkv14-111","Postweaning","CC4058L",3,NA
"Igkv14-111","Pw_HFHS","CC2379LR",10,NA
"Igkv14-111","Pw_HFHS","CC2381RR",0,NA
"Igkv14-111","Pw_HFHS","CC2508R",3,NA
"Igkv14-111","Pw_HFHS","CC2559L",1,NA
"Igkv14-111","Pw_HFHS","CC2560R",13,NA
"Igkv4-86","Control","CC1643L",0,NA
"Igkv4-86","Control","CC1698L",5,NA
"Igkv4-86","Control","CC1699R",1,NA
"Igkv4-86","Control","CC2968R",0,NA
"Igkv4-86","Ctrl_HFHS","CC1867R",1,NA
"Igkv4-86","Ctrl_HFHS","CC3445R",0,NA
"Igkv4-86","Ctrl_HFHS","CC4056R",1,NA
"Igkv4-86","Ctrl_HFHS","CC4057LR",3,NA
"Igkv4-86","Lact_HFHS","CC3772L",0,NA
"Igkv4-86","Lact_HFHS","CC3774LR",1,NA
"Igkv4-86","Lact_HFHS","CC4164L",0,NA
"Igkv4-86","Lact_HFHS","CC4272LR",0,NA
"Igkv4-86","Lactation","CC2017LL",0,NA
"Igkv4-86","Lactation","CC2565R",1,NA
"Igkv4-86","Lactation","CC2566LR",1,NA
"Igkv4-86","Lactation","CC4006R",0,NA
"Igkv4-86","Lactation","CC4007LR",0,NA
"Igkv4-86","Lactation","CC4113L",0,NA
"Igkv4-86","Lactation","CC4114R",0,NA
"Igkv4-86","Postweaning","CC2148R",4,NA
"Igkv4-86","Postweaning","CC3920LR",0,NA
"Igkv4-86","Postweaning","CC4058L",0,NA
"Igkv4-86","Pw_HFHS","CC2379LR",1,NA
"Igkv4-86","Pw_HFHS","CC2381RR",0,NA
"Igkv4-86","Pw_HFHS","CC2508R",1,NA
"Igkv4-86","Pw_HFHS","CC2560R",0,NA
"Igkv2-112","Control","CC1643L",3,NA
"Igkv2-112","Control","CC1698L",5,NA
"Igkv2-112","Control","CC1699R",0,NA
"Igkv2-112","Control","CC2968R",1,NA
"Igkv2-112","Control","CC3441L",0,NA
"Igkv2-112","Ctrl_HFHS","CC1867R",0,NA
"Igkv2-112","Ctrl_HFHS","CC3445R",1,NA
"Igkv2-112","Ctrl_HFHS","CC4056R",0,NA
"Igkv2-112","Ctrl_HFHS","CC4057LR",0,NA
"Igkv2-112","Lact_HFHS","CC3772L",0,NA
"Igkv2-112","Lact_HFHS","CC3774LR",0,NA
"Igkv2-112","Lact_HFHS","CC4164L",0,NA
"Igkv2-112","Lact_HFHS","CC4272LR",0,NA
"Igkv2-112","Lactation","CC2017LL",22,NA
"Igkv2-112","Lactation","CC2565R",2,NA
"Igkv2-112","Lactation","CC2566LR",0,NA
"Igkv2-112","Lactation","CC4006R",0,NA
"Igkv2-112","Lactation","CC4007LR",0,NA
"Igkv2-112","Lactation","CC4113L",6,NA
"Igkv2-112","Lactation","CC4114R",13,NA
"Igkv2-112","Postweaning","CC2148R",21,NA
"Igkv2-112","Postweaning","CC3920LR",1,NA
"Igkv2-112","Postweaning","CC4058L",1,NA
"Igkv2-112","Pw_HFHS","CC2381RR",0,NA
"Igkv2-112","Pw_HFHS","CC2508R",0,NA
"Igkv2-112","Pw_HFHS","CC2559L",0,NA
"Igkv2-112","Pw_HFHS","CC2560R",0,NA
