"Gene","group","Sample","Expression","is.outlier"
"Ighv7-3","Control","CC1643L",0,NA
"Ighv7-3","Control","CC1698L",2,NA
"Ighv7-3","Control","CC1699R",0,NA
"Ighv7-3","Control","CC2968R",2,NA
"Ighv7-3","Control","CC3441L",0,NA
"Ighv7-3","Ctrl_HFHS","CC1867R",0,NA
"Ighv7-3","Ctrl_HFHS","CC3445R",10,NA
"Ighv7-3","Ctrl_HFHS","CC4056R",0,NA
"Ighv7-3","Ctrl_HFHS","CC4057LR",3,NA
"Ighv7-3","Lact_HFHS","CC2962LR",0,NA
"Ighv7-3","Lact_HFHS","CC3774LR",13,NA
"Ighv7-3","Lact_HFHS","CC4164L",0,NA
"Ighv7-3","Lact_HFHS","CC4272LR",0,NA
"Ighv7-3","Lactation","CC2017LL",3,NA
"Ighv7-3","Lactation","CC2565R",7,NA
"Ighv7-3","Lactation","CC2566LR",1,NA
"Ighv7-3","Lactation","CC4006R",2,NA
"Ighv7-3","Lactation","CC4113L",0,NA
"Ighv7-3","Lactation","CC4114R",1,NA
"Ighv7-3","Postweaning","CC2148R",35,NA
"Ighv7-3","Postweaning","CC3920LR",1,NA
"Ighv7-3","Postweaning","CC4058L",0,NA
"Ighv7-3","Pw_HFHS","CC2379LR",1,NA
"Ighv7-3","Pw_HFHS","CC2381RR",1,NA
"Ighv7-3","Pw_HFHS","CC2508R",0,NA
"Ighv7-3","Pw_HFHS","CC2559L",0,NA
"Ighv7-1","Control","CC1643L",0,NA
"Ighv7-1","Control","CC1698L",4,NA
"Ighv7-1","Control","CC1699R",0,NA
"Ighv7-1","Control","CC2968R",0,NA
"Ighv7-1","Control","CC3441L",2,NA
"Ighv7-1","Ctrl_HFHS","CC1752LR",27,NA
"Ighv7-1","Ctrl_HFHS","CC1867R",0,NA
"Ighv7-1","Ctrl_HFHS","CC3445R",28,NA
"Ighv7-1","Ctrl_HFHS","CC4056R",0,NA
"Ighv7-1","Ctrl_HFHS","CC4057LR",5,NA
"Ighv7-1","Lact_HFHS","CC2962LR",0,NA
"Ighv7-1","Lact_HFHS","CC3774LR",0,NA
"Ighv7-1","Lact_HFHS","CC4164L",0,NA
"Ighv7-1","Lact_HFHS","CC4272LR",0,NA
"Ighv7-1","Lactation","CC2017LL",0,NA
"Ighv7-1","Lactation","CC2565R",0,NA
"Ighv7-1","Lactation","CC2566LR",3,NA
"Ighv7-1","Lactation","CC4007LR",0,NA
"Ighv7-1","Lactation","CC4113L",0,NA
"Ighv7-1","Lactation","CC4114R",1,NA
"Ighv7-1","Postweaning","CC2148R",5,NA
"Ighv7-1","Postweaning","CC3920LR",0,NA
"Ighv7-1","Postweaning","CC4058L",0,NA
"Ighv7-1","Pw_HFHS","CC2379LR",1,NA
"Ighv7-1","Pw_HFHS","CC2381RR",0,NA
"Ighv7-1","Pw_HFHS","CC2508R",0,NA
"Ighv7-1","Pw_HFHS","CC2559L",5,NA
"Ighv1-42","Control","CC1643L",0,NA
"Ighv1-42","Control","CC1698L",0,NA
"Ighv1-42","Control","CC2968R",0,NA
"Ighv1-42","Control","CC3441L",0,NA
"Ighv1-42","Ctrl_HFHS","CC1752LR",8,NA
"Ighv1-42","Ctrl_HFHS","CC1867R",0,NA
"Ighv1-42","Ctrl_HFHS","CC3445R",10,NA
"Ighv1-42","Ctrl_HFHS","CC4056R",1,NA
"Ighv1-42","Ctrl_HFHS","CC4057LR",0,NA
"Ighv1-42","Lact_HFHS","CC2962LR",0,NA
"Ighv1-42","Lact_HFHS","CC3772L",0,NA
"Ighv1-42","Lact_HFHS","CC3774LR",0,NA
"Ighv1-42","Lact_HFHS","CC4164L",0,NA
"Ighv1-42","Lact_HFHS","CC4272LR",0,NA
"Ighv1-42","Lactation","CC2017LL",1,NA
"Ighv1-42","Lactation","CC2566LR",0,NA
"Ighv1-42","Lactation","CC4006R",0,NA
"Ighv1-42","Lactation","CC4007LR",0,NA
"Ighv1-42","Lactation","CC4113L",0,NA
"Ighv1-42","Lactation","CC4114R",3,NA
"Ighv1-42","Postweaning","CC2148R",56,NA
"Ighv1-42","Postweaning","CC3920LR",0,NA
"Ighv1-42","Postweaning","CC4058L",1,NA
"Ighv1-42","Pw_HFHS","CC2381RR",0,NA
"Ighv1-42","Pw_HFHS","CC2508R",0,NA
"Ighv1-42","Pw_HFHS","CC2559L",0,NA
"Ighv1-42","Pw_HFHS","CC2560R",0,NA
"Ighv1-12","Control","CC1643L",0,NA
"Ighv1-12","Control","CC1698L",0,NA
"Ighv1-12","Control","CC1699R",0,NA
"Ighv1-12","Control","CC2968R",0,NA
