"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0099173","postsynapse organization","14/219","252/28891",9.22430726875188e-09,1.40963244739831e-05,1.18131639282934e-05,"13043/19280/18003/22346/66860/210293/70178/77097/13844/13004/103967/14803/70729/13048",14
"GO:0099175","regulation of postsynapse organization","11/219","139/28891",9.8696358776318e-09,1.40963244739831e-05,1.18131639282934e-05,"19280/18003/22346/66860/70178/77097/13844/13004/103967/14803/13048",11
"GO:0050807","regulation of synapse organization","15/219","309/28891",1.65105286925731e-08,1.40963244739831e-05,1.18131639282934e-05,"14265/105689/19280/56637/14735/18003/22346/66860/70178/77097/13844/13004/103967/14803/13048",15
"GO:0050803","regulation of synapse structure or activity","15/219","317/28891",2.31743719317075e-08,1.40963244739831e-05,1.18131639282934e-05,"14265/105689/19280/56637/14735/18003/22346/66860/70178/77097/13844/13004/103967/14803/13048",15
"GO:0106027","neuron projection organization","10/219","118/28891",2.43543961195285e-08,1.40963244739831e-05,1.18131639282934e-05,"13043/17754/56637/18003/66860/210293/77097/13844/103967/13048",10
"GO:0016358","dendrite development","14/219","327/28891",2.34250232331679e-07,0.000112986695394646,9.46864097003838e-05,"14265/22359/17475/50772/19280/17754/56637/83814/268980/210293/77097/13844/103967/13048",14
"GO:0035372","protein localization to microtubule","5/219","20/28891",3.37857275506868e-07,0.000139679850759554,0.000117056114701929,"17754/56637/23947/70178/237891",5
"GO:0051124","synaptic assembly at neuromuscular junction","4/219","11/28891",1.01677458031488e-06,0.000367818204428909,0.000308243241190196,"105689/56637/16795/16523",4
"GO:0097061","dendritic spine organization","8/219","108/28891",1.76237507635914e-06,0.000566701496775927,0.000474913704787304,"13043/18003/66860/210293/77097/13844/103967/13048",8
"GO:0060998","regulation of dendritic spine development","7/219","86/28891",4.22527023236609e-06,0.00112287145136278,0.00094100164548789,"14265/50772/19280/77097/13844/103967/13048",7
"GO:0034329","cell junction assembly","15/219","481/28891",4.54995448662317e-06,0.00112287145136278,0.00094100164548789,"105689/72349/13043/17475/19280/14168/56637/14735/83814/16795/13844/16523/103967/231830/13048",15
"GO:0072698","protein localization to microtubule cytoskeleton","6/219","57/28891",4.65599772507029e-06,0.00112287145136278,0.00094100164548789,"17754/56637/23947/70178/74470/237891",6
"GO:0044380","protein localization to cytoskeleton","6/219","61/28891",6.94680774135847e-06,0.00154646627719165,0.00129598745231497,"17754/56637/23947/70178/74470/237891",6
"GO:0007416","synapse assembly","10/219","222/28891",8.23130247093751e-06,0.00170083973400584,0.00142535727172351,"105689/19280/14168/56637/14735/16795/13844/16523/103967/13048",10
"GO:0060996","dendritic spine development","8/219","134/28891",8.81568625089412e-06,0.00170083973400584,0.00142535727172351,"14265/50772/19280/210293/77097/13844/103967/13048",8
"GO:0031346","positive regulation of cell projection organization","14/219","463/28891",1.34367009966053e-05,0.00243036329276098,0.00203672099316964,"14265/104445/16403/22359/12305/56637/18003/19713/13844/12396/18442/330863/103967/13048",14
"GO:0008340","determination of adult lifespan","5/219","51/28891",4.22853185319405e-05,0.00719845363714328,0.0060325308914917,"16846/72759/16795/79221/16523",5
"GO:0030522","intracellular receptor signaling pathway","11/219","328/28891",4.54218622977347e-05,0.00730282608275801,0.00611999828853689,"16846/19280/235041/223752/26379/77889/19401/16523/238803/117149/26381",11
"GO:0048638","regulation of developmental growth","12/219","405/28891",6.78369550145244e-05,0.0103326393585281,0.00865907724949941,"16846/12444/105689/56177/13043/19280/14168/56637/83814/20239/93960/22413",12
"GO:0010976","positive regulation of neuron projection development","9/219","239/28891",9.38114634410791e-05,0.0135745187599241,0.0113758743035919,"16403/22359/12305/19713/13844/12396/18442/330863/13048",9
"GO:0048813","dendrite morphogenesis","8/219","192/28891",0.000114955830264969,0.0156948944897998,0.0131528159547881,"22359/56637/83814/210293/77097/13844/103967/13048",8
"GO:0031589","cell-substrate adhesion","11/219","368/28891",0.000126154170481679,0.0156948944897998,0.0131528159547881,"72349/16403/13043/12305/56637/18003/109700/74769/14538/16780/231830",11
"GO:0042176","regulation of protein catabolic process","11/219","369/28891",0.00012917934476816,0.0156948944897998,0.0131528159547881,"14265/105689/17754/56637/83814/70797/93960/100494/16835/18126/68854",11
"GO:0050890","cognition","11/219","371/28891",0.000135415481582747,0.0156948944897998,0.0131528159547881,"12444/17754/14168/18003/66860/16795/13844/16835/55963/13048/20510",11
"GO:0015711","organic anion transport","12/219","436/28891",0.000135581327658948,0.0156948944897998,0.0131528159547881,"16846/20519/218756/231549/240638/73095/16523/18442/170441/55963/18126/20510",12
"GO:0008203","cholesterol metabolic process","7/219","150/28891",0.000153683656232779,0.0171061731206793,0.0143355119012276,"67800/16846/208715/22359/235293/244373/16835",7
"GO:0003012","muscle system process","12/219","446/28891",0.000167209682435948,0.0179224007766531,0.015019536387229,"16846/13043/14168/26397/56637/83814/16795/16511/16523/241113/20855/22065",12
"GO:0033147","negative regulation of intracellular estrogen receptor signaling pathway","3/219","15/28891",0.00018275861922836,0.0182380497947198,0.0152840602069743,"235041/77889/238803",3
"GO:0046794","transport of virus","3/219","15/28891",0.00018275861922836,0.0182380497947198,0.0152840602069743,"14265/16650/52009",3
"GO:0045732","positive regulation of protein catabolic process","8/219","208/28891",0.000199013637480527,0.0191981822289549,0.0160886814300047,"14265/56637/83814/70797/93960/100494/16835/68854",8
"GO:0086003","cardiac muscle cell contraction","5/219","72/28891",0.000221397472063096,0.0206685252951806,0.0173208752337308,"14168/83814/16511/16523/20855",5
"GO:0007611","learning or memory","10/219","331/28891",0.000234507360023441,0.0210324650899292,0.0176258682454431,"12444/17754/14168/18003/66860/16795/13844/16835/13048/20510",10
"GO:1902652","secondary alcohol metabolic process","7/219","162/28891",0.000246637749524398,0.0210324650899292,0.0176258682454431,"67800/16846/208715/22359/235293/244373/16835",7
"GO:0006898","receptor-mediated endocytosis","9/219","272/28891",0.000247098760558947,0.0210324650899292,0.0176258682454431,"14265/22359/13043/51789/20239/50765/16835/72685/103967",9
"GO:0016125","sterol metabolic process","7/219","163/28891",0.00025607093879996,0.0211734084824881,0.0177439832479731,"67800/16846/208715/22359/235293/244373/16835",7
"GO:0007613","memory","7/219","164/28891",0.000265792358976651,0.0213667524132896,0.0179060115521112,"12444/17754/14168/16795/16835/13048/20510",7
"GO:0060997","dendritic spine morphogenesis","5/219","76/28891",0.000285262868736164,0.0223121822195259,0.0186983115097617,"210293/77097/13844/103967/13048",5
"GO:0051056","regulation of small GTPase mediated signal transduction","8/219","230/28891",0.000391280154793102,0.0297990728413483,0.02497256167987,"235041/380711/74769/114713/243362/102442/13844/330863",8
"GO:0060560","developmental growth involved in morphogenesis","9/219","292/28891",0.000414870440842423,0.0299674715522418,0.0251136851039774,"54612/56177/13043/19280/12305/14168/56637/83814/93960",9
"GO:0002221","pattern recognition receptor signaling pathway","8/219","233/28891",0.000426421220754209,0.0299674715522418,0.0251136851039774,"16803/19280/223752/22031/66873/16523/117149/14283",8
"GO:0006941","striated muscle contraction","7/219","178/28891",0.000435936972307959,0.0299674715522418,0.0251136851039774,"14168/26397/83814/16795/16511/16523/20855",7
"GO:1990573","potassium ion import across plasma membrane","4/219","47/28891",0.000443780319494354,0.0299674715522418,0.0251136851039774,"16516/16511/16523/211480",4
"GO:0015810","aspartate transmembrane transport","3/219","20/28891",0.000445266508896475,0.0299674715522418,0.0251136851039774,"231549/55963/20510",3
"GO:0086009","membrane repolarization","4/219","48/28891",0.000481269697821775,0.0316544205794595,0.0265274015258701,"83814/16511/16523/70729",4
"GO:0060047","heart contraction","8/219","239/28891",0.000504405842014726,0.0324389001509026,0.0271848201170042,"14168/26397/83814/16511/16523/70729/20510/20855",8
"GO:0032310","prostaglandin secretion","3/219","21/28891",0.000516581890285496,0.0324997389236136,0.0272358049248921,"16846/18442/18126",3
"GO:0060048","cardiac muscle contraction","6/219","134/28891",0.00056794956855917,0.0348416860501169,0.0291984303857234,"14168/26397/83814/16511/16523/20855",6
