"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1902652","secondary alcohol metabolic process","19/634","162/28891",3.31738450586782e-09,6.92542937185069e-06,5.82262983337643e-06,"16846/104158/11429/13850/231070/170718/15929/208715/22359/14792/235293/11370/234564/18194/244373/14137/16987/319554/15490",19
"GO:0006695","cholesterol biosynthetic process","12/634","59/28891",4.91397542941156e-09,6.92542937185069e-06,5.82262983337643e-06,"104158/231070/208715/14792/235293/234564/18194/244373/14137/16987/319554/15490",12
"GO:1902653","secondary alcohol biosynthetic process","12/634","59/28891",4.91397542941156e-09,6.92542937185069e-06,5.82262983337643e-06,"104158/231070/208715/14792/235293/234564/18194/244373/14137/16987/319554/15490",12
"GO:0016126","sterol biosynthetic process","12/634","65/28891",1.56822383957796e-08,1.6576125984339e-05,1.39365576480389e-05,"104158/231070/208715/14792/235293/234564/18194/244373/14137/16987/319554/15490",12
"GO:0046165","alcohol biosynthetic process","17/634","144/28891",2.00937484164743e-08,1.69912736609706e-05,1.42855975584071e-05,"16846/104158/231070/208715/13849/14792/235293/234564/18194/244373/14137/16987/71780/319554/15490/50781/228550",17
"GO:0006066","alcohol metabolic process","27/634","354/28891",2.57709957569194e-08,1.81599616767092e-05,1.52681846791433e-05,"16846/104158/11429/13850/71207/231070/170718/15929/208715/56209/13849/22359/14792/235293/11370/234564/18194/244373/14137/53881/16987/71780/68393/319554/15490/50781/228550",27
"GO:1901617","organic hydroxy compound biosynthetic process","22/634","248/28891",3.58937917895267e-08,2.16798502408741e-05,1.82275691538694e-05,"16846/104158/11669/231070/208715/13849/14792/235293/234564/18194/244373/14137/16987/103711/71780/319554/15490/50781/228550/15186/22178/18948",22
"GO:0008203","cholesterol metabolic process","16/634","150/28891",2.16958350742734e-07,0.000114662488367535,9.64037303234491e-05,"16846/104158/13850/231070/208715/22359/14792/235293/11370/234564/18194/244373/14137/16987/319554/15490",16
"GO:0034329","cell junction assembly","30/634","481/28891",3.7122286257893e-07,0.000174392251442635,0.000146622176249011,"18606/11606/105689/72349/17475/19280/14168/68792/83814/399558/16795/70546/13844/12552/16523/105827/13823/54135/103967/18213/231830/12695/58187/13048/211134/192198/245446/73608/268729/77596",30
"GO:0050807","regulation of synapse organization","23/634","309/28891",4.25732201088129e-07,0.000179999574620061,0.000151336594007854,"14265/13400/105689/19280/94245/68792/18003/22346/66860/399558/70178/13844/13004/241770/105827/103967/18213/14803/228550/13048/211134/245446/235604",23
"GO:0050803","regulation of synapse structure or activity","23/634","317/28891",6.65229790028322e-07,0.000237960236232572,0.000200067648697256,"14265/13400/105689/19280/94245/68792/18003/22346/66860/399558/70178/13844/13004/241770/105827/103967/18213/14803/228550/13048/211134/245446/235604",23
"GO:0016125","sterol metabolic process","16/634","163/28891",6.75383830366809e-07,0.000237960236232572,0.000200067648697256,"16846/104158/13850/231070/208715/22359/14792/235293/11370/234564/18194/244373/14137/16987/319554/15490",16
"GO:0050890","cognition","24/634","371/28891",2.89816303653124e-06,0.000942571793727236,0.00079247745541425,"11606/17380/17754/14168/18003/66860/20443/320974/16795/11980/13844/12667/238871/55963/16497/13048/20510/15567/329934/13488/110893/214230/246317/77596",24
"GO:0098661","inorganic anion transmembrane transport","11/634","90/28891",4.51515725298538e-06,0.00136357749040159,0.001146442559649,"66881/330064/20516/101772/20515/14396/20510/229933/57249/14397/12374",11
"GO:0007611","learning or memory","22/634","331/28891",4.84384780590997e-06,0.00136531923489249,0.0011479069502146,"11606/17380/17754/14168/18003/66860/320974/16795/11980/13844/12667/238871/16497/13048/20510/15567/329934/13488/110893/214230/246317/77596",22
"GO:0051348","negative regulation of transferase activity","19/634","260/28891",5.54395799252515e-06,0.00146499089952477,0.00123170698294457,"54612/11606/72349/97064/235587/94245/11789/13163/24066/19099/13844/319801/216505/231125/68082/13835/75454/13488/110893",19
"GO:0048511","rhythmic process","21/634","317/28891",8.32736384858703e-06,0.00207106437363682,0.00174126982765811,"16846/104158/18606/11606/105689/13170/19218/15183/107515/217082/53376/19885/238871/21853/18126/18213/18752/229599/76843/15567/13488",21
"GO:0007416","synapse assembly","17/634","222/28891",9.27361460874984e-06,0.00217826903143302,0.00183140330606715,"105689/19280/14168/68792/399558/16795/70546/13844/16523/105827/103967/18213/13048/211134/192198/245446/77596",17
"GO:0006520","amino acid metabolic process","19/634","272/28891",1.05613160336604e-05,0.00222689370828679,0.00187228503034519,"108682/56357/12036/269642/12039/27053/11789/19125/217830/67789/329470/212933/69219/18126/230577/15186/71562/381411/22178",19
"GO:0006694","steroid biosynthetic process","15/634","179/28891",1.0579162706597e-05,0.00222689370828679,0.00187228503034519,"16846/104158/231070/208715/14792/235293/234564/18194/244373/14137/18514/16987/319554/15490/50781",15
"GO:0033673","negative regulation of kinase activity","17/634","225/28891",1.10607303391728e-05,0.00222689370828679,0.00187228503034519,"54612/11606/72349/97064/94245/11789/13163/24066/19099/13844/319801/216505/231125/68082/13835/13488/110893",17
"GO:0099175","regulation of postsynapse organization","13/634","139/28891",1.25983897456072e-05,0.00242118144747396,0.00203563455363232,"19280/94245/18003/22346/66860/70178/13844/13004/103967/14803/228550/13048/211134",13
