"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030900","forebrain development","26/375","425/28891",8.36889050560421e-11,2.08720129209769e-07,1.7733238513454e-07,"16560/20511/59058/16536/12032/18508/22771/21418/18996/12570/13131/14343/18993/20664/20674/16869/18012/22421/16873/22773/18992/18424/18072/22255/54713/18183",26
"GO:0006836","neurotransmitter transport","19/375","230/28891",2.13452273257501e-10,2.66174984752103e-07,2.26147066351236e-07,"12286/12322/20511/232333/12889/72961/20513/19894/16513/20614/20616/22348/18191/20979/243616/21823/241263/22421/140919",19
"GO:0021953","central nervous system neuron differentiation","18/375","212/28891",4.11074046978813e-10,3.4173955772172e-07,2.90348090023983e-07,"12286/59058/80297/20745/18508/21418/18996/20664/20674/16869/22421/16873/18088/18505/664805/18072/54713/13176",18
"GO:0019226","transmission of nerve impulse","13/375","103/28891",9.01262146472885e-10,4.93967885379802e-07,4.19684021976762e-07,"12286/16398/14799/16536/80297/13483/14167/12300/20265/58802/213788/14617/108073",13
"GO:0021537","telencephalon development","20/375","281/28891",9.90312520809547e-10,4.93967885379802e-07,4.19684021976762e-07,"20511/59058/16536/12032/18508/22771/12570/13131/14343/18993/20674/16869/18012/16873/22773/18992/18424/22255/54713/18183",20
"GO:0048663","neuron fate commitment","12/375","90/28891",2.11765806898258e-09,8.80239870673758e-07,7.47867665414374e-07,"59058/18508/18996/17933/20664/20674/69952/18088/18505/18992/18424/54713",12
"GO:0001505","regulation of neurotransmitter levels","17/375","220/28891",5.30544251680940e-09,1.89025337670323e-06,1.60599335132892e-06,"12286/12322/20511/232333/12889/72961/20513/19894/16513/20614/20616/18191/20979/243616/241263/22421/140919",17
"GO:0099504","synaptic vesicle cycle","17/375","230/28891",1.03306839066356e-08,3.22059070789365e-06,2.73627193474441e-06,"12286/12217/12322/12889/72961/23969/19894/20614/104069/20408/20616/22348/20979/433485/21823/22421/140919",17
"GO:0030902","hindbrain development","15/375","179/28891",1.43091364876006e-08,3.65019938914983e-06,3.10127521645997e-06,"12286/171469/18508/18996/12570/13131/18013/16869/18012/22421/16873/93688/664805/18424/18072",15
"GO:0035249","synaptic transmission, glutamatergic","13/375","129/28891",1.46359237736561e-08,3.65019938914983e-06,3.10127521645997e-06,"12286/14799/14802/72961/230235/268934/14813/12300/20979/14800/108068/108073/140919",13
"GO:0099003","vesicle-mediated transport in synapse","17/375","270/28891",1.08046883195069e-07,2.44730251595215e-05,2.07927234398838e-05,"12286/12217/12322/12889/72961/23969/19894/20614/104069/20408/20616/22348/20979/433485/21823/22421/140919",17
"GO:0021543","pallium development","14/375","182/28891",1.26996292976045e-07,2.44730251595215e-05,2.07927234398838e-05,"59058/16536/12032/18508/22771/12570/13131/18993/20674/18012/16873/22773/18992/54713",14
"GO:0021510","spinal cord development","11/375","105/28891",1.27565888963023e-07,2.44730251595215e-05,2.07927234398838e-05,"12286/18508/22771/13131/20664/16869/16873/18088/18505/22255/13176",11
"GO:0030534","adult behavior","14/375","191/28891",2.30333664563161e-07,4.09343516842879e-05,3.47785632636101e-05,"12286/20511/80297/19049/16513/22771/18191/14167/13131/20265/93688/76965/108068/108073",14
"GO:0007416","synapse assembly","15/375","222/28891",2.46196982864602e-07,4.09343516842879e-05,3.47785632636101e-05,"12286/12217/14799/107831/18164/272381/18191/14394/433485/22421/386750/76965/238205/228942/18183",15
"GO:0061351","neural precursor cell proliferation","15/375","225/28891",2.92644001901618e-07,4.56158837964147e-05,3.87560773571024e-05,"16560/171469/12032/18508/216739/242748/18993/20674/16869/22421/16873/11923/170571/664805/18992",15
"GO:0015800","acidic amino acid transport","9/375","74/28891",4.99502314938606e-07,6.923961299299e-05,5.88272236335158e-05,"20511/232333/72961/20513/16513/22348/108068/108073/140919",9
"GO:0021761","limbic system development","11/375","120/28891",4.99724552475469e-07,6.923961299299e-05,5.88272236335158e-05,"16536/12032/22771/12570/13131/18012/16873/22773/18992/18072/54713",11
"GO:0042391","regulation of membrane potential","22/375","491/28891",5.86415715511532e-07,7.69747786571453e-05,6.53991598517847e-05,"12286/14799/72961/20513/16536/16513/16525/110891/13483/14813/16524/14167/12300/14394/20265/58802/14399/213788/22421/14405/14617/16522",22
"GO:0045165","cell fate commitment","17/375","307/28891",6.61452747136077e-07,8.24831575678689e-05,7.00791778939434e-05,"22410/59058/18508/18996/17933/20664/20674/18012/22421/69952/11923/18088/18505/18992/104382/18424/54713",17
"GO:0035418","protein localization to synapse","10/375","100/28891",7.39366712442502e-07,8.73886403636624e-05,7.42469645262535e-05,"12217/12322/12889/18164/20614/224997/14813/18191/12300/386750",10
